"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10806","external_page_harvard.html","external-html","0","11049","0.0-0.0","A3CGQOJC28OVGN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7029","","image-button-response","1","18082","0.0-1.0","A3CGQOJC28OVGN","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1790","","image-button-response","2","19880","0.0-2.0-0.0","A3CGQOJC28OVGN","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4433","","survey-text","3","24315","0.0-3.0-0.0","A3CGQOJC28OVGN","","","","{""Q0"":""A3CGQOJC28OVGN""}","","","","","","","","","","","","","","","","","","","","","","",""
"9373","","image-button-response_instructions","4","33691","0.0-4.0","A3CGQOJC28OVGN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11527","","image-button-response_instructions","5","45219","0.0-5.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3059","","image-button-response_instructions","6","48280","0.0-6.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3914","","image-button-response_instructions","7","52196","0.0-7.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5528","","image-button-response_instructions","8","57726","0.0-8.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4175","","image-button-response_instructions","9","61903","0.0-9.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5782","","image-button-response_instructions","10","67688","0.0-10.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3213","","image-button-response_instructions","11","70903","0.0-11.0","A3CGQOJC28OVGN","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
