"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6593","external_page_harvard.html","external-html","0","6716","0.0-0.0","A3CMWYLWMENHLZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6157","","image-button-response","1","12875","0.0-1.0","A3CMWYLWMENHLZ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2724","","image-button-response","2","15602","0.0-2.0-0.0","A3CMWYLWMENHLZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2671","","survey-text","3","18275","0.0-3.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""A3CMWYLWMENHLZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4326","","image-button-response_instructions","4","22602","0.0-4.0","A3CMWYLWMENHLZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14143","","image-button-response_instructions","5","36747","0.0-5.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3358","","image-button-response_instructions","6","40107","0.0-6.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2391","","image-button-response_instructions","7","42498","0.0-7.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4823","","image-button-response_instructions","8","47323","0.0-8.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2751","","image-button-response_instructions","9","50074","0.0-9.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3855","","image-button-response_instructions","10","53931","0.0-10.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2847","","image-button-response_instructions","11","56778","0.0-11.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8056","","image-button-response_instructions","12","64835","0.0-12.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12143","","image-button-response_instructions","13","76980","0.0-13.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3710","","image-button-response_instructions","14","80691","0.0-14.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2223","","image-button-response_instructions","15","82915","0.0-15.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2375","","image-button-response_instructions","16","85291","0.0-16.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","","image-button-response_instructions","17","87427","0.0-17.0","A3CMWYLWMENHLZ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1831","","image-button-response_instructions","18","89259","0.0-18.0","A3CMWYLWMENHLZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10166","","survey-text","19","99443","0.0-19.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19487","","survey-text","20","118931","0.0-20.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""scratchy and colorful surface, too much color""}","","","","","","","","","","","","","","","","","","","","","","",""
"3102.100000023842","","image-slider-response","21","122035","0.0-21.0","A3CMWYLWMENHLZ","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","127040","0.0-22.0","A3CMWYLWMENHLZ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3899","","image-button-response","23","130941","0.0-23.0","A3CMWYLWMENHLZ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2350","","image-button-response","24","133293","0.0-24.0-0.0","A3CMWYLWMENHLZ","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1430","","image-button-response","25","134725","0.0-25.0-0.0","A3CMWYLWMENHLZ","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","135727","0.0-26.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-28","scratchy and colorful surface, too much color","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","0"
"15827","","survey-text","27","151556","0.0-27.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""bloody bed. I love it!""}","","","","","","","","","","","","","","","","","","","","","","",""
"2462.399999976158","","image-slider-response","28","154020","0.0-28.0","A3CMWYLWMENHLZ","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","159024","0.0-29.0","A3CMWYLWMENHLZ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","image-button-response","30","161893","0.0-30.0","A3CMWYLWMENHLZ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1934","","image-button-response","31","163828","0.0-31.0-0.0","A3CMWYLWMENHLZ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"791","","image-button-response","32","164621","0.0-32.0-0.0","A3CMWYLWMENHLZ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","165623","0.0-33.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","11","bloody bed. I love it!","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Adam","too much color,-18,20,20","Kyle","Idk, it is just annoying,-32,180,20","0"
"15859","","survey-text","34","181484","0.0-34.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""icy climate, blue everywhere""}","","","","","","","","","","","","","","","","","","","","","","",""
"4174.399999976158","","image-slider-response","35","185661","0.0-35.0","A3CMWYLWMENHLZ","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"4383","","image-button-response","36","190663","0.0-36.0","A3CMWYLWMENHLZ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3965","","image-button-response","37","194629","0.0-37.0","A3CMWYLWMENHLZ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4470","","image-button-response","38","199101","0.0-38.0-0.0","A3CMWYLWMENHLZ","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4799","","image-button-response","39","203901","0.0-39.0-0.0","A3CMWYLWMENHLZ","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","205403","0.0-40.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","12","icy climate, blue everywhere","Adam,John,Sam,Mike,Ron,Kyle","My daily routine, it's depressing,-20,20,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","John","I like the overlapping of brushes,41,160,20","Sam","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","0"
"2957","","image-button-response_instructions","41","208365","0.0-41.0","A3CMWYLWMENHLZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9335","","survey-likert","42","217702","0.0-42.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4288","","survey-text","43","221997","0.0-43.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17454","","survey-text","44","239453","0.0-44.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""sophisticated, detailed""}","","","","","","","","","","","","","","","","","","","","","","",""
"3294.300000011921","","image-slider-response","45","242749","0.0-45.0","A3CMWYLWMENHLZ","","","","","34","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","247772","0.0-46.0","A3CMWYLWMENHLZ","img_art/18.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","","image-button-response","47","249582","0.0-47.0","A3CMWYLWMENHLZ","img_art/18.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"783","","image-button-response","48","250367","0.0-48.0-0.0","A3CMWYLWMENHLZ","img_art/18.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1014","","image-button-response","49","251383","0.0-49.0-0.0","A3CMWYLWMENHLZ","img_art/18.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","252385","0.0-50.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/18.jpg","34","sophisticated, detailed","Jared,Elijah,Blake,Kenneth,Antonio,Brendan","it looks like people,9,400,20","Makes me feel confused,16,80,20","i like the colors. outerspace,21,280,20","It's interesting. I'm not sure how I feel about it, but i enjoy the ghostly apparitions.,10,300,20","I think of the ocean and a boat tossed about on the waves. In the upper left is a figure. It is pleasant,30,220,20","looks like a war,22,340,20","Kenneth","It's interesting. I'm not sure how I feel about it, but i enjoy the ghostly apparitions.,10,300,20","Jared","it looks like people,9,400,20","Blake","i like the colors. outerspace,21,280,20","0"
"14403","","survey-text","51","266791","0.0-51.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""a white snowy day, positive""}","","","","","","","","","","","","","","","","","","","","","","",""
"3630","","image-slider-response","52","270422","0.0-52.0","A3CMWYLWMENHLZ","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"4487","","image-button-response","53","275423","0.0-53.0","A3CMWYLWMENHLZ","img_art/17.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2510","","image-button-response","54","277935","0.0-54.0","A3CMWYLWMENHLZ","img_art/17.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"871","","image-button-response","55","278807","0.0-55.0-0.0","A3CMWYLWMENHLZ","img_art/17.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1182","","image-button-response","56","279991","0.0-56.0-0.0","A3CMWYLWMENHLZ","img_art/17.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","280493","0.0-57.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/17.jpg","18","a white snowy day, positive","Jared,Connor,Blake,Kenneth,Jack,Gregory","the colors, the arch and the wall,15,400,20","Windows indoor tree, weird palette,-11,240,20","soft and warm light colors are relaxing,12,280,20","I really like this, especially the tree.,23,300,20","stunning. makes me feel happy, hopeful, serene, and a little wistful.,50,320,20","Looks like some fantasy tree. Nice,30,220,20","Kenneth","I really like this, especially the tree.,23,300,20","Jared","the colors, the arch and the wall,15,400,20","Connor","Windows indoor tree, weird palette,-11,240,20","0"
"17950","","survey-text","58","298446","0.0-58.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""sloppy brush specks""}","","","","","","","","","","","","","","","","","","","","","","",""
"3302.7000000476837","","image-slider-response","59","301750","0.0-59.0","A3CMWYLWMENHLZ","","","","","-19","","","","","","","","","","","","","","","","","","","","","",""
"4991","","image-button-response","60","306753","0.0-60.0","A3CMWYLWMENHLZ","img_art/13.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"748","","image-button-response","61","307503","0.0-61.0","A3CMWYLWMENHLZ","img_art/13.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1030","","image-button-response","62","308535","0.0-62.0-0.0","A3CMWYLWMENHLZ","img_art/13.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"982","","image-button-response","63","309519","0.0-63.0-0.0","A3CMWYLWMENHLZ","img_art/13.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","64","310522","0.0-64.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/13.jpg","-19","sloppy brush specks","Jared,Connor,Adam,Kenneth,Colton,Caleb","the blues are soothing but the splatters are too much,-3,400,20","Color palette is complementary,40,240,20","Generic mix of colors. Cool and messy.,10,40,20","I would hang this photo in my room.,21,300,20","love the colors and splatters,44,220,20","Lots of depth and character.,30,40,20","Jared","the blues are soothing but the splatters are too much,-3,400,20","Adam","Generic mix of colors. Cool and messy.,10,40,20","Caleb","Lots of depth and character.,30,40,20","0"
"14297","","survey-text","65","324823","0.0-65.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""someone hates the subject""}","","","","","","","","","","","","","","","","","","","","","","",""
"2806.399999976158","","image-slider-response","66","327631","0.0-66.0","A3CMWYLWMENHLZ","","","","","-6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","67","332634","0.0-67.0","A3CMWYLWMENHLZ","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3396","","image-button-response","68","336031","0.0-68.0","A3CMWYLWMENHLZ","img_art/29.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1341","","image-button-response","69","337375","0.0-69.0-0.0","A3CMWYLWMENHLZ","img_art/29.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1366","","image-button-response","70","338743","0.0-70.0-0.0","A3CMWYLWMENHLZ","img_art/29.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","71","339745","0.0-71.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","4","img_art/29.jpg","-6","someone hates the subject","Jared,Austin,Adam,Mason,Kyle,Caleb","not digging the paintbrush,1,400,20","Has a haunting feel to it,22,240,20","Flash is too strong. Dislike the colors,-5,40,20","easy, too abstract for me, don't get it.,-25,100,20","I like the usage of blacks and greys in this,8,340,20","Looks wrong. Like a real painting was vandalized.,-50,40,20","Austin","Has a haunting feel to it,22,240,20","Mason","easy, too abstract for me, don't get it.,-25,100,20","Caleb","Looks wrong. Like a real painting was vandalized.,-50,40,20","0"
"7898","","survey-text","72","347646","0.0-72.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""kinder work""}","","","","","","","","","","","","","","","","","","","","","","",""
"2750.600000023842","","image-slider-response","73","350399","0.0-73.0","A3CMWYLWMENHLZ","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
"4070","","image-button-response","74","355401","0.0-74.0","A3CMWYLWMENHLZ","img_art/5.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"732","","image-button-response","75","356135","0.0-75.0","A3CMWYLWMENHLZ","img_art/5.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1590","","image-button-response","76","357727","0.0-76.0-0.0","A3CMWYLWMENHLZ","img_art/5.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4839","","image-button-response","77","362567","0.0-77.0-0.0","A3CMWYLWMENHLZ","img_art/5.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","78","364069","0.0-78.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","5","img_art/5.jpg","-39","kinder work","Bryan,Austin,Benjamin,Mason,Corey,Caleb","Looks like a yellow plastic trash bag.,-42,400,20","Perfect for art exhibition,39,240,20","Missing something,-5,260,20","pointless, ugly, not creative.,-50,100,20","simple. love the color scheme,27,260,20","Boring and appears low effort,-41,40,20","Mason","pointless, ugly, not creative.,-50,100,20","Caleb","Boring and appears low effort,-41,40,20","Bryan","Looks like a yellow plastic trash bag.,-42,400,20","0"
"5140","","survey-text","79","369216","0.0-79.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"10735","","survey-text","80","379952","0.0-80.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""a hopi desert scene""}","","","","","","","","","","","","","","","","","","","","","","",""
"3174.599999964237","","image-slider-response","81","383128","0.0-81.0","A3CMWYLWMENHLZ","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
"4734","","image-button-response","82","388131","0.0-82.0","A3CMWYLWMENHLZ","img_art/20.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"691","","image-button-response","83","388824","0.0-83.0","A3CMWYLWMENHLZ","img_art/20.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191","","image-button-response","84","390016","0.0-84.0-0.0","A3CMWYLWMENHLZ","img_art/20.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1294","","image-button-response","85","391312","0.0-85.0-0.0","A3CMWYLWMENHLZ","img_art/20.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","86","391814","0.0-86.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","6","img_art/20.jpg","9","a hopi desert scene","Bryan,Cody,Devon,Mason,Joshua,Caleb","Reminds me of Georgia O'Keefe.,11,400,20","I like the distortion of the objects, good colors,20,180,20","i can feel the intensity in this,11,400,20","Very cool, and calming (again) Love it.,47,100,20","Reminds me of the Southwest; i.e. New Mexico or Arizona. It's interesting.,12,240,20","Lovely composition, colors, and message.,35,40,20","Caleb","Lovely composition, colors, and message.,35,40,20","Joshua","Reminds me of the Southwest; i.e. New Mexico or Arizona. It's interesting.,12,240,20","Bryan","Reminds me of Georgia O'Keefe.,11,400,20","0"
"16455","","survey-text","87","408272","0.0-87.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""lots of dotted balls, too complex""}","","","","","","","","","","","","","","","","","","","","","","",""
"2477.899999976158","","image-slider-response","88","410751","0.0-88.0","A3CMWYLWMENHLZ","","","","","-7","","","","","","","","","","","","","","","","","","","","","",""
"3798","","image-button-response","89","415754","0.0-89.0","A3CMWYLWMENHLZ","img_art/23.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"892","","image-button-response","90","416648","0.0-90.0","A3CMWYLWMENHLZ","img_art/23.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2790","","image-button-response","91","419440","0.0-91.0-0.0","A3CMWYLWMENHLZ","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2406","","image-button-response","92","421848","0.0-92.0-0.0","A3CMWYLWMENHLZ","img_art/23.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","93","423350","0.0-93.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","7","img_art/23.jpg","-7","lots of dotted balls, too complex","Bryan,Nathaniel,Daniel,Adrian,Joshua,Caleb","Looks like fireworks.,21,400,20","Not a fan of these dot pieces. They hurt my eyes.,-25,220,20","Too busy with color with warrior lineup,0,320,20","Too much contrasting colors together. I hate it.,-50,60,20","This one is interesting. Looks like people with maybe musical instruments?,11,240,20","Very colorful. Nice contrasts.,26,40,20","Caleb","Very colorful. Nice contrasts.,26,40,20","Nathaniel","Not a fan of these dot pieces. They hurt my eyes.,-25,220,20","Adrian","Too much contrasting colors together. I hate it.,-50,60,20","0"
"12424","","survey-text","94","435776","0.0-94.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""sandstone, desert vibes""}","","","","","","","","","","","","","","","","","","","","","","",""
"2757.900000035763","","image-slider-response","95","438536","0.0-95.0","A3CMWYLWMENHLZ","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","96","443539","0.0-96.0","A3CMWYLWMENHLZ","img_art/7.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3508","","image-button-response","97","447048","0.0-97.0","A3CMWYLWMENHLZ","img_art/7.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2399","","image-button-response","98","449449","0.0-98.0-0.0","A3CMWYLWMENHLZ","img_art/7.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1214","","image-button-response","99","450665","0.0-99.0-0.0","A3CMWYLWMENHLZ","img_art/7.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","100","451667","0.0-100.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","8","img_art/7.jpg","27","sandstone, desert vibes","Dylan,Nathaniel,Devin,Adrian,Noah,Caleb","I do not like the boring colors in this.,-20,40,20","It gives off an alien-like vastness of space vibe which I like,9,220,20","Not very big on the sameness here,-20,380,20","It's dirty. I don't mind the colors so much as the way they are put together in this dirty-looking pattern.,-41,60,20","elicits no real response,0,260,20","More saturated color, even more interpretations to have.,44,40,20","Nathaniel","It gives off an alien-like vastness of space vibe which I like,9,220,20","Noah","elicits no real response,0,260,20","Caleb","More saturated color, even more interpretations to have.,44,40,20","0"
"11307","","survey-text","101","462976","0.0-101.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""people in agreement, happy""}","","","","","","","","","","","","","","","","","","","","","","",""
"3262.600000023842","","image-slider-response","102","466241","0.0-102.0","A3CMWYLWMENHLZ","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"4349","","image-button-response","103","471243","0.0-103.0","A3CMWYLWMENHLZ","img_art/28.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"820","","image-button-response","104","472065","0.0-104.0","A3CMWYLWMENHLZ","img_art/28.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2062","","image-button-response","105","474128","0.0-105.0-0.0","A3CMWYLWMENHLZ","img_art/28.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1750","","image-button-response","106","475881","0.0-106.0-0.0","A3CMWYLWMENHLZ","img_art/28.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","107","477383","0.0-107.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","9","img_art/28.jpg","27","people in agreement, happy","Ryan,Nathaniel,Nicholas,Taylor,Noah,Caleb","Colors look too muddy for my liking,-33,380,20","Has an air of darkness to it, but no real substance besides the mouse-like thing.,-38,220,20","Interesting and weird. Perfect conversational piece,33,240,20","Bug meets bug in a dark alley.,-20,200,20","I want to like it, but I'm not really sure what to make of it,2,260,20","White and dark balance is way off- Seems dull.,-33,40,20","Nicholas","Interesting and weird. Perfect conversational piece,33,240,20","Nathaniel","Has an air of darkness to it, but no real substance besides the mouse-like thing.,-38,220,20","Noah","I want to like it, but I'm not really sure what to make of it,2,260,20","0"
"17247","","survey-text","108","494633","0.0-108.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""a big red ball with numbers below""}","","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-slider-response","109","497528","0.0-109.0","A3CMWYLWMENHLZ","","","","","-12","","","","","","","","","","","","","","","","","","","","","",""
"3015","","image-button-response","110","502530","0.0-110.0","A3CMWYLWMENHLZ","img_art/22.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"725","","image-button-response","111","503257","0.0-111.0","A3CMWYLWMENHLZ","img_art/22.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1854","","image-button-response","112","505113","0.0-112.0-0.0","A3CMWYLWMENHLZ","img_art/22.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2446","","image-button-response","113","507561","0.0-113.0-0.0","A3CMWYLWMENHLZ","img_art/22.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","114","509062","0.0-114.0","A3CMWYLWMENHLZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","10","img_art/22.jpg","-12","a big red ball with numbers below","Joseph,Nathaniel,Nicholas,Victor,Noah,Alexis","I don't like that it looks like a person is there upside down.,-16,220,20","Looks like a giant blob,-45,220,20","Pretty colors but something seems sinister about it,25,240,20","I don't really know why, I just like looking at it,10,340,20","displeasure - not a fan of the colour or the shapes,-18,260,20","Neither like nor dislike it. The red, yellow and blue colors are bright but I don't know what it's meant to be.,1,140,20","Joseph","I don't like that it looks like a person is there upside down.,-16,220,20","Noah","displeasure - not a fan of the colour or the shapes,-18,260,20","Nicholas","Pretty colors but something seems sinister about it,25,240,20","0"
"4747","","survey-text","115","513817","0.0-115.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""our""}","","","","","","","","","","","","","","","","","","","","","","",""
"21047","","survey-text","116","534865","0.0-116.0-0.0","A3CMWYLWMENHLZ","","","","{""Q0"":""a desert shrub, good mysterious colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"1998.6000000238419","","image-slider-response","117","536865","0.0-117.0","A3CMWYLWMENHLZ","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"3783","","image-button-response","118","541868","0.0-118.0","A3CMWYLWMENHLZ","img_art/14.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"787","","image-button-response","119","542656","0.0-119.0","A3CMWYLWMENHLZ","img_art/14.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1847","","image-button-response","120","544505","0.0-120.0-0.0","A3CMWYLWMENHLZ","img_art/14.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
