"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7790","external_page_harvard.html","external-html","0","8325","0.0-0.0","A3DCWSOQTN5VDL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6716","","image-button-response","1","15048","0.0-1.0","A3DCWSOQTN5VDL","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1841","","image-button-response","2","16905","0.0-2.0-0.0","A3DCWSOQTN5VDL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3369","","survey-text","3","20292","0.0-3.0-0.0","A3DCWSOQTN5VDL","","","","{""Q0"":""A3DCWSOQTN5VDL""}","","","","","","","","","","","","","","","","","","","","","","",""
"3536","","image-button-response_instructions","4","23833","0.0-4.0","A3DCWSOQTN5VDL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15992","","image-button-response_instructions","5","39828","0.0-5.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6629","","image-button-response_instructions","6","46475","0.0-6.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1575","","image-button-response_instructions","7","48055","0.0-7.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8427","","image-button-response_instructions","8","56488","0.0-8.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2310","","image-button-response_instructions","9","58802","0.0-9.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1652","","image-button-response_instructions","10","60455","0.0-10.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1666","","image-button-response_instructions","11","62124","0.0-11.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1767","","image-button-response_instructions","12","63893","0.0-12.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1328","","image-button-response_instructions","13","65224","0.0-13.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"898","","image-button-response_instructions","14","66125","0.0-14.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"794","","image-button-response_instructions","15","66922","0.0-15.0","A3DCWSOQTN5VDL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
