"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4363","external_page_harvard.html","external-html","0","4439","0.0-0.0","A3EWR58W0SA885","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","image-button-response","1","5870","0.0-1.0","A3EWR58W0SA885","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1366","","image-button-response","2","7240","0.0-2.0-0.0","A3EWR58W0SA885","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2114","","survey-text","3","9355","0.0-3.0-0.0","A3EWR58W0SA885","","","","{""Q0"":""A3EWR58W0SA885""}","","","","","","","","","","","","","","","","","","","","","","",""
"6232","","image-button-response_instructions","4","15589","0.0-4.0","A3EWR58W0SA885","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16420","","image-button-response_instructions","5","32010","0.0-5.0","A3EWR58W0SA885","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5554","","image-button-response_instructions","6","37565","0.0-6.0","A3EWR58W0SA885","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3241","","image-button-response_instructions","7","40808","0.0-7.0","A3EWR58W0SA885","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4445","","image-button-response_instructions","8","45254","0.0-8.0","A3EWR58W0SA885","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4655","","image-button-response_instructions","9","49909","0.0-9.0","A3EWR58W0SA885","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2611","","image-button-response_instructions","10","52522","0.0-10.0","A3EWR58W0SA885","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3171","","image-button-response_instructions","11","55694","0.0-11.0","A3EWR58W0SA885","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1659","","image-button-response_instructions","12","57354","0.0-12.0","A3EWR58W0SA885","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5131","","image-button-response_instructions","13","62485","0.0-13.0","A3EWR58W0SA885","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3767","","image-button-response_instructions","14","66254","0.0-14.0","A3EWR58W0SA885","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1817","","image-button-response_instructions","15","68072","0.0-15.0","A3EWR58W0SA885","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1833","","image-button-response_instructions","16","69905","0.0-16.0","A3EWR58W0SA885","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2329","","image-button-response_instructions","17","72235","0.0-17.0","A3EWR58W0SA885","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1785","","image-button-response_instructions","18","74021","0.0-18.0","A3EWR58W0SA885","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5620","","survey-text","19","79663","0.0-19.0-0.0","A3EWR58W0SA885","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11063","","survey-text","20","90727","0.0-20.0-0.0","A3EWR58W0SA885","","","","{""Q0"":""Messy, ordinary, but not hard to look at""}","","","","","","","","","","","","","","","","","","","","","","",""
"3532.2999999523163","","image-slider-response","21","94262","0.0-21.0","A3EWR58W0SA885","","","","","-11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","99265","0.0-22.0","A3EWR58W0SA885","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6435","","image-button-response","23","105702","0.0-23.0","A3EWR58W0SA885","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622","","image-button-response","24","113326","0.0-24.0-0.0","A3EWR58W0SA885","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2186","","image-button-response","25","115514","0.0-25.0-0.0","A3EWR58W0SA885","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","116016","0.0-26.0","A3EWR58W0SA885","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-11","Messy, ordinary, but not hard to look at","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Alex","very creative work.,36,40,20","0"
"10024","","survey-text","27","126050","0.0-27.0-0.0","A3EWR58W0SA885","","","","{""Q0"":""Reminds me of something prehistoric; it has strong colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"2656.7999999523163","","image-slider-response","28","128708","0.0-28.0","A3EWR58W0SA885","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"2540","","image-button-response","29","133711","0.0-29.0","A3EWR58W0SA885","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
