"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5293","external_page_harvard.html","external-html","0","5349","0.0-0.0","A3F5Z5S2AHMN2O","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1913","","image-button-response","1","7268","0.0-1.0","A3F5Z5S2AHMN2O","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2528","","image-button-response","2","9804","0.0-2.0-0.0","A3F5Z5S2AHMN2O","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5993","","survey-text","3","15802","0.0-3.0-0.0","A3F5Z5S2AHMN2O","","","","{""Q0"":""A3F5Z5S2AHMN2O""}","","","","","","","","","","","","","","","","","","","","","","",""
"4492","","image-button-response_instructions","4","20298","0.0-4.0","A3F5Z5S2AHMN2O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8343","","image-button-response_instructions","5","28645","0.0-5.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2741","","image-button-response_instructions","6","31387","0.0-6.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1808","","image-button-response_instructions","7","33197","0.0-7.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4810","","image-button-response_instructions","8","38009","0.0-8.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1486","","image-button-response_instructions","9","39496","0.0-9.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1411","","image-button-response_instructions","10","40909","0.0-10.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3882","","image-button-response_instructions","11","44793","0.0-11.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3891","","image-button-response_instructions","12","48686","0.0-12.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2971","","image-button-response_instructions","13","51659","0.0-13.0","A3F5Z5S2AHMN2O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
