"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7967","external_page_harvard.html","external-html","0","8059","0.0-0.0","A3IZMPMBGIEGVP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2292","","image-button-response","1","10353","0.0-1.0","A3IZMPMBGIEGVP","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3608","","image-button-response","2","13963","0.0-2.0-0.0","A3IZMPMBGIEGVP","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8165","","survey-text","3","22130","0.0-3.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""A3IZMPMBGIEGVP""}","","","","","","","","","","","","","","","","","","","","","","",""
"8712","","image-button-response_instructions","4","30844","0.0-4.0","A3IZMPMBGIEGVP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15087","","image-button-response_instructions","5","45932","0.0-5.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12066","","image-button-response_instructions","6","57998","0.0-6.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5795","","image-button-response_instructions","7","63795","0.0-7.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12678","","image-button-response_instructions","8","76474","0.0-8.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7474","","image-button-response_instructions","9","83950","0.0-9.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5584","","image-button-response_instructions","10","89534","0.0-10.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4170","","image-button-response_instructions","11","93704","0.0-11.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10336","","image-button-response_instructions","12","104042","0.0-12.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16204","","image-button-response_instructions","13","120247","0.0-13.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21387","","image-button-response_instructions","14","141635","0.0-14.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4653","","image-button-response_instructions","15","146288","0.0-15.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13036","","image-button-response_instructions","16","159324","0.0-16.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10219","","image-button-response_instructions","17","169544","0.0-17.0","A3IZMPMBGIEGVP","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3111","","image-button-response_instructions","18","172656","0.0-18.0","A3IZMPMBGIEGVP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7035","","survey-text","19","179705","0.0-19.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25664","","survey-text","20","205371","0.0-20.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""this looks like neopolitan ice cream that melted down a hill""}","","","","","","","","","","","","","","","","","","","","","","",""
"5769.800000011921","","image-slider-response","21","211142","0.0-21.0","A3IZMPMBGIEGVP","","","","","32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","216146","0.0-22.0","A3IZMPMBGIEGVP","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6020","","image-button-response","23","222167","0.0-23.0","A3IZMPMBGIEGVP","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4726","","image-button-response","24","226894","0.0-24.0-0.0","A3IZMPMBGIEGVP","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"19060","","image-button-response","25","245955","0.0-25.0-0.0","A3IZMPMBGIEGVP","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","246957","0.0-26.0","A3IZMPMBGIEGVP","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","32","this looks like neopolitan ice cream that melted down a hill","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"23560","","survey-text","27","270520","0.0-27.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""when your 3 year old helps you pain the house .. kewt""}","","","","","","","","","","","","","","","","","","","","","","",""
"3985.5999999940395","","image-slider-response","28","274507","0.0-28.0","A3IZMPMBGIEGVP","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","279509","0.0-29.0","A3IZMPMBGIEGVP","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"311","","image-button-response","30","279821","0.0-30.0","A3IZMPMBGIEGVP","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5172","","image-button-response","31","284994","0.0-31.0-0.0","A3IZMPMBGIEGVP","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1642","","image-button-response","32","286638","0.0-32.0-0.0","A3IZMPMBGIEGVP","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","288139","0.0-33.0","A3IZMPMBGIEGVP","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","41","when your 3 year old helps you pain the house .. kewt","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Jen","It reminds me of a fireplace,36,120,20","0"
"44660","","survey-text","34","332805","0.0-34.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""this piece could be a real ice-breaker :-)""}","","","","","","","","","","","","","","","","","","","","","","",""
"4728.70000000298","","image-slider-response","35","337535","0.0-35.0","A3IZMPMBGIEGVP","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","342537","0.0-36.0","A3IZMPMBGIEGVP","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8541","","image-button-response","37","351081","0.0-37.0","A3IZMPMBGIEGVP","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2244","","image-button-response","38","353326","0.0-38.0-0.0","A3IZMPMBGIEGVP","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3027","","image-button-response","39","356355","0.0-39.0-0.0","A3IZMPMBGIEGVP","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","356857","0.0-40.0","A3IZMPMBGIEGVP","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","50","this piece could be a real ice-breaker :-)","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Jen","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Kara","calming blue is very nice,36,160,20","0"
"7440","","image-button-response_instructions","41","364300","0.0-41.0","A3IZMPMBGIEGVP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16347","","survey-likert","42","380649","0.0-42.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5839","","survey-text","43","386494","0.0-43.0-0.0","A3IZMPMBGIEGVP","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
