"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7253","external_page_harvard.html","external-html","0","7393","0.0-0.0","A3KF6O09H04SP7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1418","","image-button-response","1","8814","0.0-1.0","A3KF6O09H04SP7","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2991","","image-button-response","2","11813","0.0-2.0-0.0","A3KF6O09H04SP7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6835","","survey-text","3","18650","0.0-3.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""A3KF6O09H04SP7""}","","","","","","","","","","","","","","","","","","","","","","",""
"4298","","image-button-response_instructions","4","22955","0.0-4.0","A3KF6O09H04SP7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8504","","image-button-response_instructions","5","31462","0.0-5.0","A3KF6O09H04SP7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4035","","image-button-response_instructions","6","35498","0.0-6.0","A3KF6O09H04SP7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3094","","image-button-response_instructions","7","38594","0.0-7.0","A3KF6O09H04SP7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4788","","image-button-response_instructions","8","43384","0.0-8.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4237","","image-button-response_instructions","9","47623","0.0-9.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2717","","image-button-response_instructions","10","50342","0.0-10.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2520","","image-button-response_instructions","11","52864","0.0-11.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6131","","image-button-response_instructions","12","58996","0.0-12.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9506","","image-button-response_instructions","13","68504","0.0-13.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6741","","image-button-response_instructions","14","75247","0.0-14.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2820","","image-button-response_instructions","15","78069","0.0-15.0","A3KF6O09H04SP7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4686","","image-button-response_instructions","16","82756","0.0-16.0","A3KF6O09H04SP7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2811","","image-button-response_instructions","17","85571","0.0-17.0","A3KF6O09H04SP7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","","image-button-response_instructions","18","86985","0.0-18.0","A3KF6O09H04SP7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5048","","survey-text","19","92070","0.0-19.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16032","","survey-text","20","108104","0.0-20.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""I'm not a big fan of the color palette. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4396","","image-slider-response","21","112503","0.0-21.0","A3KF6O09H04SP7","","","","","-19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","117539","0.0-22.0","A3KF6O09H04SP7","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2370","","image-button-response","23","119913","0.0-23.0","A3KF6O09H04SP7","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"6137","","image-button-response","24","126056","0.0-24.0-0.0","A3KF6O09H04SP7","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2137","","image-button-response","25","128198","0.0-25.0-0.0","A3KF6O09H04SP7","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","129712","0.0-26.0","A3KF6O09H04SP7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-19","I'm not a big fan of the color palette. ","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","0"
"11274","","survey-text","27","140992","0.0-27.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""I like the texture of the paint.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3578.5","","image-slider-response","28","144574","0.0-28.0","A3KF6O09H04SP7","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"2964","","image-button-response","29","149580","0.0-29.0","A3KF6O09H04SP7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6873","","image-button-response","30","156459","0.0-30.0","A3KF6O09H04SP7","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"980","","image-button-response","31","157441","0.0-31.0-0.0","A3KF6O09H04SP7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4907","","image-button-response","32","162352","0.0-32.0-0.0","A3KF6O09H04SP7","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","163371","0.0-33.0","A3KF6O09H04SP7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","19","I like the texture of the paint.","James,John,Kyle,Carl,Daniel,Jack","looks too angry,-50,140,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","John","love the texture of paint,48,160,20","James","looks too angry,-50,140,20","0"
"10560","","survey-text","34","173947","0.0-34.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""Very cold in a calming way.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3434.5","","image-slider-response","35","177384","0.0-35.0","A3KF6O09H04SP7","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","182389","0.0-36.0","A3KF6O09H04SP7","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2726","","image-button-response","37","185117","0.0-37.0","A3KF6O09H04SP7","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"837","","image-button-response","38","185958","0.0-38.0-0.0","A3KF6O09H04SP7","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"845","","image-button-response","39","186805","0.0-39.0-0.0","A3KF6O09H04SP7","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","187322","0.0-40.0","A3KF6O09H04SP7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","14","Very cold in a calming way.","James,John,Mike,Carl,Ron,Sam","My worst nightmare,-42,140,20","I like the overlapping of brushes,41,160,20","enjoy the different shades of blue,22,200,20","It's an alright work,15,80,20","It looks depressing,-26,220,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","John","I like the overlapping of brushes,41,160,20","0"
"4100","","image-button-response_instructions","41","191428","0.0-41.0","A3KF6O09H04SP7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8027","","survey-likert","42","199457","0.0-42.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4068","","survey-text","43","203534","0.0-43.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17605","","survey-text","44","221142","0.0-44.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""I like the leaf or tree that is sprouting out of the dirt.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4363.300000011921","","image-slider-response","45","225508","0.0-45.0","A3KF6O09H04SP7","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","230548","0.0-46.0","A3KF6O09H04SP7","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2657","","image-button-response","47","233210","0.0-47.0","A3KF6O09H04SP7","img_art/6.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","","image-button-response","48","234290","0.0-48.0-0.0","A3KF6O09H04SP7","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1467","","image-button-response","49","235761","0.0-49.0-0.0","A3KF6O09H04SP7","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","236772","0.0-50.0","A3KF6O09H04SP7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/6.jpg","27","I like the leaf or tree that is sprouting out of the dirt.","Luke,Joseph,Charles,William,Travis,Hunter","i like it but it is very neutral,9,20,20","Little birdie in a desert. Seeking better frontiers.,13,220,20","It's pretty dour,-10,100,20","makes me think of nature,30,380,20","No feeling...just left me feeling kind of blah,1,260,20","composition is engaging,28,240,20","Hunter","composition is engaging,28,240,20","William","makes me think of nature,30,380,20","Joseph","Little birdie in a desert. Seeking better frontiers.,13,220,20","0"
"10556","","survey-text","51","247340","0.0-51.0-0.0","A3KF6O09H04SP7","","","","{""Q0"":""Very off putting combination of colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2763.0999999940395","","image-slider-response","52","250106","0.0-52.0","A3KF6O09H04SP7","","","","","-34","","","","","","","","","","","","","","","","","","","","","",""
"4372","","image-button-response","53","255112","0.0-53.0","A3KF6O09H04SP7","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"812","","image-button-response","54","255928","0.0-54.0","A3KF6O09H04SP7","img_art/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"565","","image-button-response","55","256496","0.0-55.0-0.0","A3KF6O09H04SP7","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4003","","image-button-response","56","260502","0.0-56.0-0.0","A3KF6O09H04SP7","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"813","","image-button-response","57","265468","0.0-56.1-0.1","A3KF6O09H04SP7","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
