"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5763","external_page_harvard.html","external-html","0","5821","0.0-0.0","A3KK5FKG3L0Q66","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1069","","image-button-response","1","6892","0.0-1.0","A3KK5FKG3L0Q66","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2704","","image-button-response","2","9599","0.0-2.0-0.0","A3KK5FKG3L0Q66","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"1991","","survey-text","3","11592","0.0-3.0-0.0","A3KK5FKG3L0Q66","","","","{""Q0"":""A3KK5FKG3L0Q66""}","","","","","","","","","","","","","","","","","","","","","","",""
"4992","","image-button-response_instructions","4","16585","0.0-4.0","A3KK5FKG3L0Q66","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7238","","image-button-response_instructions","5","23825","0.0-5.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2800","","image-button-response_instructions","6","26627","0.0-6.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3461","","image-button-response_instructions","7","30092","0.0-7.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9415","","image-button-response_instructions","8","39509","0.0-8.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2809","","image-button-response_instructions","9","42320","0.0-9.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3343","","image-button-response_instructions","10","45665","0.0-10.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2511","","image-button-response_instructions","11","48178","0.0-11.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5496","","image-button-response_instructions","12","53676","0.0-12.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8303","","image-button-response_instructions","13","61980","0.0-13.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7697","","image-button-response_instructions","14","69679","0.0-14.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3041","","image-button-response_instructions","15","72722","0.0-15.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6445","","image-button-response_instructions","16","79168","0.0-16.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4336","","image-button-response_instructions","17","83506","0.0-17.0","A3KK5FKG3L0Q66","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1270","","image-button-response_instructions","18","84776","0.0-18.0","A3KK5FKG3L0Q66","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3668","","survey-text","19","88465","0.0-19.0-0.0","A3KK5FKG3L0Q66","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16755","","survey-text","20","105221","0.0-20.0-0.0","A3KK5FKG3L0Q66","","","","{""Q0"":""Personally I'm not a fan of the color scheme / palette.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5617.10000000149","","image-slider-response","21","110845","0.0-21.0","A3KK5FKG3L0Q66","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","115850","0.0-22.0","A3KK5FKG3L0Q66","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"466","","image-button-response","23","116319","0.0-23.0","A3KK5FKG3L0Q66","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6868","","image-button-response","24","123192","0.0-24.0-0.0","A3KK5FKG3L0Q66","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4348","","image-button-response","25","127545","0.0-25.0-0.0","A3KK5FKG3L0Q66","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","128548","0.0-26.0","A3KK5FKG3L0Q66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-20","Personally I'm not a fan of the color scheme / palette.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"16737","","survey-text","27","145290","0.0-27.0-0.0","A3KK5FKG3L0Q66","","","","{""Q0"":""The texture in the artwork is extremely interesting. It seems rustic.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4878.5","","image-slider-response","28","150172","0.0-28.0","A3KK5FKG3L0Q66","","","","","30","","","","","","","","","","","","","","","","","","","","","",""
