"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"20579","external_page_harvard.html","external-html","0","20643","0.0-0.0","A3MYPYBVHX7FQ2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2572","","image-button-response","1","23217","0.0-1.0","A3MYPYBVHX7FQ2","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5984","","image-button-response","2","29205","0.0-2.0-0.0","A3MYPYBVHX7FQ2","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8098","","survey-text","3","37305","0.0-3.0-0.0","A3MYPYBVHX7FQ2","","","","{""Q0"":""A3MYPYBVHX7FQ2""}","","","","","","","","","","","","","","","","","","","","","","",""
"24436","","image-button-response_instructions","4","61743","0.0-4.0","A3MYPYBVHX7FQ2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15671","","image-button-response_instructions","5","77415","0.0-5.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6129","","image-button-response_instructions","6","83546","0.0-6.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8524","","image-button-response_instructions","7","92071","0.0-7.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9177","","image-button-response_instructions","8","101249","0.0-8.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6318","","image-button-response_instructions","9","107568","0.0-9.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4230","","image-button-response_instructions","10","111798","0.0-10.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7066","","image-button-response_instructions","11","118866","0.0-11.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4497","","image-button-response_instructions","12","123364","0.0-12.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29084","","image-button-response_instructions","13","152450","0.0-13.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20087","","image-button-response_instructions","14","172539","0.0-14.0","A3MYPYBVHX7FQ2","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
