"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"38254","external_page_harvard.html","external-html","0","38339","0.0-0.0","A3O7X46E3REM7I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1170","","image-button-response","1","39510","0.0-1.0","A3O7X46E3REM7I","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2183","","image-button-response","2","41697","0.0-2.0-0.0","A3O7X46E3REM7I","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5329","","survey-text","3","47027","0.0-3.0-0.0","A3O7X46E3REM7I","","","","{""Q0"":""A3O7X46E3REM7I""}","","","","","","","","","","","","","","","","","","","","","","",""
"1952","","image-button-response_instructions","4","48981","0.0-4.0","A3O7X46E3REM7I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9549","","image-button-response_instructions","5","58531","0.0-5.0","A3O7X46E3REM7I","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4108","","image-button-response_instructions","6","62640","0.0-6.0","A3O7X46E3REM7I","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13149","","image-button-response_instructions","7","75791","0.0-7.0","A3O7X46E3REM7I","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5713","","image-button-response_instructions","8","81505","0.0-8.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10429","","image-button-response_instructions","9","91934","0.0-9.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3320","","image-button-response_instructions","10","95254","0.0-10.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5338","","image-button-response_instructions","11","100593","0.0-11.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10678","","image-button-response_instructions","12","111273","0.0-12.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"244861","","image-button-response_instructions","13","356135","0.0-13.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25723","","image-button-response_instructions","14","381859","0.0-14.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5873","","image-button-response_instructions","15","387733","0.0-15.0","A3O7X46E3REM7I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9912","","image-button-response_instructions","16","397646","0.0-16.0","A3O7X46E3REM7I","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
