"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"239643","external_page_harvard.html","external-html","0","239720","0.0-0.0","A3RIX2H2NYLNC4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2069","","image-button-response","1","241791","0.0-1.0","A3RIX2H2NYLNC4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1467","","image-button-response","2","243263","0.0-2.0-0.0","A3RIX2H2NYLNC4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3375","","survey-text","3","246639","0.0-3.0-0.0","A3RIX2H2NYLNC4","","","","{""Q0"":""A3RIX2H2NYLNC4""}","","","","","","","","","","","","","","","","","","","","","","",""
"14016","","image-button-response_instructions","4","260657","0.0-4.0","A3RIX2H2NYLNC4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11993","","image-button-response_instructions","5","272650","0.0-5.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3031","","image-button-response_instructions","6","275683","0.0-6.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6976","","image-button-response_instructions","7","282660","0.0-7.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6552","","image-button-response_instructions","8","289212","0.0-8.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4335","","image-button-response_instructions","9","293548","0.0-9.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2727","","image-button-response_instructions","10","296277","0.0-10.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2215","","image-button-response_instructions","11","298493","0.0-11.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27219","","image-button-response_instructions","12","325713","0.0-12.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18312","","image-button-response_instructions","13","344027","0.0-13.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8104","","image-button-response_instructions","14","352131","0.0-14.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3719","","image-button-response_instructions","15","355852","0.0-15.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13625","","image-button-response_instructions","16","369478","0.0-16.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3696","","image-button-response_instructions","17","373174","0.0-17.0","A3RIX2H2NYLNC4","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","","image-button-response_instructions","18","375182","0.0-18.0","A3RIX2H2NYLNC4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4173","","survey-text","19","379374","0.0-19.0-0.0","A3RIX2H2NYLNC4","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19441","","survey-text","20","398817","0.0-20.0-0.0","A3RIX2H2NYLNC4","","","","{""Q0"":""I think it is a good use of complementing colors but I don't like the random lines.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3206.2999999523163","","image-slider-response","21","402026","0.0-21.0","A3RIX2H2NYLNC4","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","407029","0.0-22.0","A3RIX2H2NYLNC4","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3932","","image-button-response","23","410963","0.0-23.0","A3RIX2H2NYLNC4","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1470","","image-button-response","24","412434","0.0-24.0-0.0","A3RIX2H2NYLNC4","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2150","","image-button-response","25","414587","0.0-25.0-0.0","A3RIX2H2NYLNC4","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","415590","0.0-26.0","A3RIX2H2NYLNC4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-20","I think it is a good use of complementing colors but I don't like the random lines.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Beth","This color reminds me of poo,-46,60,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","0"
"21995","","survey-text","27","437589","0.0-27.0-0.0","A3RIX2H2NYLNC4","","","","{""Q0"":""I really like this one because of the red, blue and yellow and also because I can see shapes inside of the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6327.5","","image-slider-response","28","443918","0.0-28.0","A3RIX2H2NYLNC4","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","448921","0.0-29.0","A3RIX2H2NYLNC4","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1004","","image-button-response","30","449928","0.0-30.0","A3RIX2H2NYLNC4","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"7455","","image-button-response","31","457384","0.0-31.0-0.0","A3RIX2H2NYLNC4","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6463","","image-button-response","32","463848","0.0-32.0-0.0","A3RIX2H2NYLNC4","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","465351","0.0-33.0","A3RIX2H2NYLNC4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","27","I really like this one because of the red, blue and yellow and also because I can see shapes inside of the colors.","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Kara","I like the blocks of color arrangements,30,160,20","Katie","too much color!,-28,180,20","Ashley","Idk, it is just annoying,-32,40,20","0"
"18327","","survey-text","34","483683","0.0-34.0-0.0","A3RIX2H2NYLNC4","","","","{""Q0"":""The blue colors make me feel cold and I like the marks they made.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3943.2000000476837","","image-slider-response","35","487628","0.0-35.0","A3RIX2H2NYLNC4","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"2614","","image-button-response","36","492630","0.0-36.0","A3RIX2H2NYLNC4","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3492","","image-button-response","37","496125","0.0-37.0","A3RIX2H2NYLNC4","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1887","","image-button-response","38","498014","0.0-38.0-0.0","A3RIX2H2NYLNC4","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2726","","image-button-response","39","500742","0.0-39.0-0.0","A3RIX2H2NYLNC4","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
