"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8884","external_page_harvard.html","external-html","0","8941","0.0-0.0","A3RYL66CAGH5JU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2213","","image-button-response","1","11156","0.0-1.0","A3RYL66CAGH5JU","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1950","","image-button-response","2","13109","0.0-2.0-0.0","A3RYL66CAGH5JU","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8339","","survey-text","3","21449","0.0-3.0-0.0","A3RYL66CAGH5JU","","","","{""Q0"":""A3RYL66CAGH5JU""}","","","","","","","","","","","","","","","","","","","","","","",""
"6185","","image-button-response_instructions","4","27636","0.0-4.0","A3RYL66CAGH5JU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12357","","image-button-response_instructions","5","39994","0.0-5.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3369","","image-button-response_instructions","6","43364","0.0-6.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3099","","image-button-response_instructions","7","46463","0.0-7.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3501","","image-button-response_instructions","8","49966","0.0-8.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3239","","image-button-response_instructions","9","53206","0.0-9.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2665","","image-button-response_instructions","10","55871","0.0-10.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1382","","image-button-response_instructions","11","57253","0.0-11.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6011","","image-button-response_instructions","12","63265","0.0-12.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10721","","image-button-response_instructions","13","73989","0.0-13.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4646","","image-button-response_instructions","14","78635","0.0-14.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3361","","image-button-response_instructions","15","81997","0.0-15.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5741","","image-button-response_instructions","16","87739","0.0-16.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2847","","image-button-response_instructions","17","90587","0.0-17.0","A3RYL66CAGH5JU","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1231","","image-button-response_instructions","18","91819","0.0-18.0","A3RYL66CAGH5JU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7032","","survey-text","19","98867","0.0-19.0-0.0","A3RYL66CAGH5JU","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
