"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5062","external_page_harvard.html","external-html","0","5255","0.0-0.0","A3UDUHUVFKD833","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1390","","image-button-response","1","6649","0.0-1.0","A3UDUHUVFKD833","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1446","","image-button-response","2","8106","0.0-2.0-0.0","A3UDUHUVFKD833","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3883","","survey-text","3","11993","0.0-3.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""A3UDUHUVFKD833""}","","","","","","","","","","","","","","","","","","","","","","",""
"2482","","image-button-response_instructions","4","14482","0.0-4.0","A3UDUHUVFKD833","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7588","","image-button-response_instructions","5","22080","0.0-5.0","A3UDUHUVFKD833","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3171","","image-button-response_instructions","6","25255","0.0-6.0","A3UDUHUVFKD833","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1936","","image-button-response_instructions","7","27196","0.0-7.0","A3UDUHUVFKD833","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5416","","image-button-response_instructions","8","32618","0.0-8.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3105","","image-button-response_instructions","9","35727","0.0-9.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","image-button-response_instructions","10","37285","0.0-10.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1039","","image-button-response_instructions","11","38327","0.0-11.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2811","","image-button-response_instructions","12","41141","0.0-12.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8704","","image-button-response_instructions","13","49847","0.0-13.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5809","","image-button-response_instructions","14","55661","0.0-14.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2030","","image-button-response_instructions","15","57694","0.0-15.0","A3UDUHUVFKD833","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2041","","image-button-response_instructions","16","59738","0.0-16.0","A3UDUHUVFKD833","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1859","","image-button-response_instructions","17","61602","0.0-17.0","A3UDUHUVFKD833","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"902","","image-button-response_instructions","18","62507","0.0-18.0","A3UDUHUVFKD833","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4331","","survey-text","19","66890","0.0-19.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15785","","survey-text","20","82680","0.0-20.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""sadness""}","","","","","","","","","","","","","","","","","","","","","","",""
"3192.600000023842","","image-slider-response","21","85881","0.0-21.0","A3UDUHUVFKD833","","","","","-12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","90905","0.0-22.0","A3UDUHUVFKD833","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2247","","image-button-response","23","93162","0.0-23.0","A3UDUHUVFKD833","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4888","","image-button-response","24","98057","0.0-24.0-0.0","A3UDUHUVFKD833","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1169","","image-button-response","25","99240","0.0-25.0-0.0","A3UDUHUVFKD833","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"906","","image-button-response","26","103184","0.0-25.1-0.1","A3UDUHUVFKD833","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1428","","image-button-response","27","108601","0.0-25.2-0.2","A3UDUHUVFKD833","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","28","110121","0.0-26.0","A3UDUHUVFKD833","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-12","sadness","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Beth","This color reminds me of poo,-46,60,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","4"
"6532","","survey-text","29","116673","0.0-27.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""i love the colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"3619.600000023842","","image-slider-response","30","120295","0.0-28.0","A3UDUHUVFKD833","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","31","125306","0.0-29.0","A3UDUHUVFKD833","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"588","","image-button-response","32","125900","0.0-30.0","A3UDUHUVFKD833","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3984","","image-button-response","33","129888","0.0-31.0-0.0","A3UDUHUVFKD833","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191","","image-button-response","34","131084","0.0-32.0-0.0","A3UDUHUVFKD833","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","35","131592","0.0-33.0","A3UDUHUVFKD833","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","28","i love the colors","Allison,Jenna,Beth,Dora,Kara,Katie","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","Dora","looks too angry,-50,80,20","4"
"6383","","survey-text","36","137989","0.0-34.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""cool winter""}","","","","","","","","","","","","","","","","","","","","","","",""
"5078","","image-slider-response","37","143078","0.0-35.0","A3UDUHUVFKD833","","","","","42","","","","","","","","","","","","","","","","","","","","","",""
"1601","","image-button-response","38","148087","0.0-36.0","A3UDUHUVFKD833","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1606","","image-button-response","39","149701","0.0-37.0","A3UDUHUVFKD833","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"617","","image-button-response","40","150322","0.0-38.0-0.0","A3UDUHUVFKD833","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1281","","image-button-response","41","151606","0.0-39.0-0.0","A3UDUHUVFKD833","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","152617","0.0-40.0","A3UDUHUVFKD833","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","42","cool winter","Allison,Leslie,Mary,Dora,Kara,Rose","enjoy the different shades of blue,22,20,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","My worst nightmare,-42,80,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","Allison","enjoy the different shades of blue,22,20,20","Mary","I like the overlapping of brushes,41,220,20","Kara","calming blue is very nice,36,160,20","4"
"2366","","image-button-response_instructions","43","155000","0.0-41.0","A3UDUHUVFKD833","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9466","","survey-likert","44","164470","0.0-42.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3715","","survey-text","45","168202","0.0-43.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"10284","","survey-text","46","178489","0.0-44.0-0.0","A3UDUHUVFKD833","","","","{""Q0"":""love the nature scene""}","","","","","","","","","","","","","","","","","","","","","","",""
