"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9668","external_page_harvard.html","external-html","0","9725","0.0-0.0","A3VICGAIVOTX4U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173","","image-button-response","1","10899","0.0-1.0","A3VICGAIVOTX4U","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1756","","image-button-response","2","12660","0.0-2.0-0.0","A3VICGAIVOTX4U","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5350","","survey-text","3","18011","0.0-3.0-0.0","A3VICGAIVOTX4U","","","","{""Q0"":""A3VICGAIVOTX4U""}","","","","","","","","","","","","","","","","","","","","","","",""
"2039","","image-button-response_instructions","4","20052","0.0-4.0","A3VICGAIVOTX4U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1424","","image-button-response_instructions","5","21476","0.0-5.0","A3VICGAIVOTX4U","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10894","","image-button-response_instructions","6","32371","0.0-6.0","A3VICGAIVOTX4U","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","image-button-response_instructions","7","34387","0.0-7.0","A3VICGAIVOTX4U","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3472","","image-button-response_instructions","8","37859","0.0-8.0","A3VICGAIVOTX4U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1943","","image-button-response_instructions","9","39803","0.0-9.0","A3VICGAIVOTX4U","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
