"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"22249","external_page_harvard.html","external-html","0","22291","0.0-0.0","A49WTQG4MBT9Z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1327","","image-button-response","1","23619","0.0-1.0","A49WTQG4MBT9Z","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2208","","image-button-response","2","25831","0.0-2.0-0.0","A49WTQG4MBT9Z","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10154","","survey-text","3","35987","0.0-3.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""A49WTQG4MBT9Z""}","","","","","","","","","","","","","","","","","","","","","","",""
"5105","","image-button-response_instructions","4","41093","0.0-4.0","A49WTQG4MBT9Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"203601","","image-button-response_instructions","5","244695","0.0-5.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4694","","image-button-response_instructions","6","249390","0.0-6.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3669","","image-button-response_instructions","7","253059","0.0-7.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13251","","image-button-response_instructions","8","266311","0.0-8.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4654","","image-button-response_instructions","9","270966","0.0-9.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2709","","image-button-response_instructions","10","273676","0.0-10.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2707","","image-button-response_instructions","11","276384","0.0-11.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5705","","image-button-response_instructions","12","282089","0.0-12.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8323","","image-button-response_instructions","13","290414","0.0-13.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5705","","image-button-response_instructions","14","296120","0.0-14.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2507","","image-button-response_instructions","15","298627","0.0-15.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9307","","image-button-response_instructions","16","307935","0.0-16.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3445","","image-button-response_instructions","17","311381","0.0-17.0","A49WTQG4MBT9Z","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1239","","image-button-response_instructions","18","312621","0.0-18.0","A49WTQG4MBT9Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6763","","survey-text","19","319401","0.0-19.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"31976","","survey-text","20","351379","0.0-20.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""I like the colors and it's very peaceful. I think anyone who enjoys serenity would appreciate it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4116.29999999702","","image-slider-response","21","355497","0.0-21.0","A49WTQG4MBT9Z","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"3866","","image-button-response","22","360502","0.0-22.0","A49WTQG4MBT9Z","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2845","","image-button-response","23","363350","0.0-23.0","A49WTQG4MBT9Z","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2423","","image-button-response","24","365775","0.0-24.0-0.0","A49WTQG4MBT9Z","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3005","","image-button-response","25","368782","0.0-25.0-0.0","A49WTQG4MBT9Z","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","370286","0.0-26.0","A49WTQG4MBT9Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","29","I like the colors and it's very peaceful. I think anyone who enjoys serenity would appreciate it.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"34735","","survey-text","27","405030","0.0-27.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""It looks dark and mysterious but I kind of like it. The bright red colors are alluring if not scary too. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2906","","image-slider-response","28","407937","0.0-28.0","A49WTQG4MBT9Z","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","412941","0.0-29.0","A49WTQG4MBT9Z","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"601","","image-button-response","30","413545","0.0-30.0","A49WTQG4MBT9Z","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1784","","image-button-response","31","415332","0.0-31.0-0.0","A49WTQG4MBT9Z","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"536","","image-button-response","32","415870","0.0-32.0-0.0","A49WTQG4MBT9Z","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","417372","0.0-33.0","A49WTQG4MBT9Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","10","It looks dark and mysterious but I kind of like it. The bright red colors are alluring if not scary too. ","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Alex","I like the blocks of color arrangements,30,40,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"29806","","survey-text","34","447182","0.0-34.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""The blue colors are really cool and I like the style of the artwork. This is a great painting and I think anyone with style will like it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3890.2999999970198","","image-slider-response","35","451074","0.0-35.0","A49WTQG4MBT9Z","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"1890","","image-button-response","36","456077","0.0-36.0","A49WTQG4MBT9Z","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"930","","image-button-response","37","457010","0.0-37.0","A49WTQG4MBT9Z","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"944","","image-button-response","38","457956","0.0-38.0-0.0","A49WTQG4MBT9Z","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"510","","image-button-response","39","458468","0.0-39.0-0.0","A49WTQG4MBT9Z","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","459969","0.0-40.0","A49WTQG4MBT9Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","40","The blue colors are really cool and I like the style of the artwork. This is a great painting and I think anyone with style will like it.","Mike,Alex,Ron,Carl,John,Sam","enjoy the different shades of blue,22,200,20","calming blue is very nice,36,40,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","John","I like the overlapping of brushes,41,160,20","Alex","calming blue is very nice,36,40,20","Mike","enjoy the different shades of blue,22,200,20","0"
"6380","","image-button-response_instructions","41","466354","0.0-41.0","A49WTQG4MBT9Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10887","","survey-likert","42","477242","0.0-42.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3935","","survey-text","43","481184","0.0-43.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17485","","survey-text","44","498671","0.0-44.0-0.0","A49WTQG4MBT9Z","","","","{""Q0"":""It has great symmetry and the colors are awesome to look at.""}","","","","","","","","","","","","","","","","","","","","","","",""
