"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6502","external_page_harvard.html","external-html","0","6564","0.0-0.0","A5P12YJP805RG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1012","","image-button-response","1","7578","0.0-1.0","A5P12YJP805RG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1713","","image-button-response","2","9296","0.0-2.0-0.0","A5P12YJP805RG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2512","","survey-text","3","11810","0.0-3.0-0.0","A5P12YJP805RG","","","","{""Q0"":""A5P12YJP805RG""}","","","","","","","","","","","","","","","","","","","","","","",""
"3312","","image-button-response_instructions","4","15123","0.0-4.0","A5P12YJP805RG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4829","","image-button-response_instructions","5","19954","0.0-5.0","A5P12YJP805RG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3526","","image-button-response_instructions","6","23483","0.0-6.0","A5P12YJP805RG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4854","","image-button-response_instructions","7","28338","0.0-7.0","A5P12YJP805RG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7319","","image-button-response_instructions","8","35658","0.0-8.0","A5P12YJP805RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3967","","image-button-response_instructions","9","39626","0.0-9.0","A5P12YJP805RG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2959","","image-button-response_instructions","10","42586","0.0-10.0","A5P12YJP805RG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2535","","image-button-response_instructions","11","45122","0.0-11.0","A5P12YJP805RG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4791","","image-button-response_instructions","12","49914","0.0-12.0","A5P12YJP805RG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9288","","image-button-response_instructions","13","59203","0.0-13.0","A5P12YJP805RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14327","","image-button-response_instructions","14","73531","0.0-14.0","A5P12YJP805RG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3886","","image-button-response_instructions","15","77419","0.0-15.0","A5P12YJP805RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6015","","image-button-response_instructions","16","83435","0.0-16.0","A5P12YJP805RG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2903","","image-button-response_instructions","17","86339","0.0-17.0","A5P12YJP805RG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1175","","image-button-response_instructions","18","87515","0.0-18.0","A5P12YJP805RG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3993","","survey-text","19","91531","0.0-19.0-0.0","A5P12YJP805RG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"5558","","survey-text","20","97091","0.0-20.0-0.0","A5P12YJP805RG","","","","{""Q0"":""bit of a mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"2925.899999856949","","image-slider-response","21","100019","0.0-21.0","A5P12YJP805RG","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"2037","","image-button-response","22","105023","0.0-22.0","A5P12YJP805RG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"800","","image-button-response","23","105827","0.0-23.0","A5P12YJP805RG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1286","","image-button-response","24","107115","0.0-24.0-0.0","A5P12YJP805RG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1246","","image-button-response","25","108363","0.0-25.0-0.0","A5P12YJP805RG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2511","","image-button-response","26","113748","0.0-25.1-0.1","A5P12YJP805RG","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","114750","0.0-26.0","A5P12YJP805RG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-13","bit of a mess","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","Daniel","It looks like a murder scene.,-48,100,20","2"
"10434","","survey-text","28","125194","0.0-27.0-0.0","A5P12YJP805RG","","","","{""Q0"":""like stone, cave paintings""}","","","","","","","","","","","","","","","","","","","","","","",""
"3110.5999999046326","","image-slider-response","29","128306","0.0-28.0","A5P12YJP805RG","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","133309","0.0-29.0","A5P12YJP805RG","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2770","","image-button-response","31","136083","0.0-30.0","A5P12YJP805RG","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"646","","image-button-response","32","136730","0.0-31.0-0.0","A5P12YJP805RG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1446","","image-button-response","33","138178","0.0-32.0-0.0","A5P12YJP805RG","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
