"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"24962","external_page_harvard.html","external-html","0","25016","0.0-0.0","A7VQJN8H4QMI6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2192","","image-button-response","1","27210","0.0-1.0","A7VQJN8H4QMI6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3867","","image-button-response","2","31085","0.0-2.0-0.0","A7VQJN8H4QMI6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6757","","survey-text","3","37843","0.0-3.0-0.0","A7VQJN8H4QMI6","","","","{""Q0"":""A7VQJN8H4QMI6""}","","","","","","","","","","","","","","","","","","","","","","",""
"5193","","image-button-response_instructions","4","43038","0.0-4.0","A7VQJN8H4QMI6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12206","","image-button-response_instructions","5","55247","0.0-5.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4885","","image-button-response_instructions","6","60134","0.0-6.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5814","","image-button-response_instructions","7","65950","0.0-7.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6650","","image-button-response_instructions","8","72602","0.0-8.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3647","","image-button-response_instructions","9","76250","0.0-9.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3912","","image-button-response_instructions","10","80163","0.0-10.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2931","","image-button-response_instructions","11","83096","0.0-11.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7383","","image-button-response_instructions","12","90479","0.0-12.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7032","","image-button-response_instructions","13","97514","0.0-13.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5658","","image-button-response_instructions","14","103173","0.0-14.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3219","","image-button-response_instructions","15","106393","0.0-15.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22555","","image-button-response_instructions","16","128949","0.0-16.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"80925","","image-button-response_instructions","17","209875","0.0-17.0","A7VQJN8H4QMI6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1567","","image-button-response_instructions","18","211443","0.0-18.0","A7VQJN8H4QMI6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4448","","survey-text","19","215909","0.0-19.0-0.0","A7VQJN8H4QMI6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13128","","survey-text","20","229039","0.0-20.0-0.0","A7VQJN8H4QMI6","","","","{""Q0"":""colorful and captivating""}","","","","","","","","","","","","","","","","","","","","","","",""
"3910.2000000476837","","image-slider-response","21","232954","0.0-21.0","A7VQJN8H4QMI6","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","237964","0.0-22.0","A7VQJN8H4QMI6","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3401","","image-button-response","23","241369","0.0-23.0","A7VQJN8H4QMI6","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1157","","image-button-response","24","242530","0.0-24.0-0.0","A7VQJN8H4QMI6","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3993","","image-button-response","25","246528","0.0-25.0-0.0","A7VQJN8H4QMI6","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","247531","0.0-26.0","A7VQJN8H4QMI6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","50","colorful and captivating","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"21125","","survey-text","27","268663","0.0-27.0-0.0","A7VQJN8H4QMI6","","","","{""Q0"":""I don't understand what this is supposed to be.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2595.2999999523163","","image-slider-response","28","271260","0.0-28.0","A7VQJN8H4QMI6","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","276264","0.0-29.0","A7VQJN8H4QMI6","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1052","","image-button-response","30","277320","0.0-30.0","A7VQJN8H4QMI6","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2102","","image-button-response","31","279424","0.0-31.0-0.0","A7VQJN8H4QMI6","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1837","","image-button-response","32","281264","0.0-32.0-0.0","A7VQJN8H4QMI6","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
