"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7722","external_page_harvard.html","external-html","0","7766","0.0-0.0","AAASQIW3J32OL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1836","","image-button-response","1","9602","0.0-1.0","AAASQIW3J32OL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2349","","image-button-response","2","11956","0.0-2.0-0.0","AAASQIW3J32OL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7219","","survey-text","3","19176","0.0-3.0-0.0","AAASQIW3J32OL","","","","{""Q0"":""AAASQIW3J32OL""}","","","","","","","","","","","","","","","","","","","","","","",""
"6331","","image-button-response_instructions","4","25508","0.0-4.0","AAASQIW3J32OL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14028","","image-button-response_instructions","5","39538","0.0-5.0","AAASQIW3J32OL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6216","","image-button-response_instructions","6","45754","0.0-6.0","AAASQIW3J32OL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7638","","image-button-response_instructions","7","53392","0.0-7.0","AAASQIW3J32OL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16527","","image-button-response_instructions","8","69920","0.0-8.0","AAASQIW3J32OL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3897","","image-button-response_instructions","9","73818","0.0-9.0","AAASQIW3J32OL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3097","","image-button-response_instructions","10","76916","0.0-10.0","AAASQIW3J32OL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3125","","image-button-response_instructions","11","80042","0.0-11.0","AAASQIW3J32OL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5705","","image-button-response_instructions","12","85748","0.0-12.0","AAASQIW3J32OL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15316","","image-button-response_instructions","13","101064","0.0-13.0","AAASQIW3J32OL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7830","","image-button-response_instructions","14","108894","0.0-14.0","AAASQIW3J32OL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4015","","image-button-response_instructions","15","112910","0.0-15.0","AAASQIW3J32OL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9837","","image-button-response_instructions","16","122748","0.0-16.0","AAASQIW3J32OL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4139","","image-button-response_instructions","17","126888","0.0-17.0","AAASQIW3J32OL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1257","","image-button-response_instructions","18","128146","0.0-18.0","AAASQIW3J32OL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11529","","survey-text","19","139694","0.0-19.0-0.0","AAASQIW3J32OL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18905","","survey-text","20","158600","0.0-20.0-0.0","AAASQIW3J32OL","","","","{""Q0"":""Pretty but seems a little pointless to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5404.400000095367","","image-slider-response","21","164007","0.0-21.0","AAASQIW3J32OL","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","169011","0.0-22.0","AAASQIW3J32OL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3302","","image-button-response","23","172317","0.0-23.0","AAASQIW3J32OL","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3041","","image-button-response","24","175359","0.0-24.0-0.0","AAASQIW3J32OL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2769","","image-button-response","25","178131","0.0-25.0-0.0","AAASQIW3J32OL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2099","","image-button-response","26","188092","0.0-25.1-0.1","AAASQIW3J32OL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2053","","image-button-response","27","197815","0.0-25.2-0.2","AAASQIW3J32OL","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
