"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"48669","external_page_harvard.html","external-html","0","48717","0.0-0.0","AAC9DJ81ZXUE7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3233","","image-button-response","1","51952","0.0-1.0","AAC9DJ81ZXUE7","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"909","","image-button-response","2","52866","0.0-2.0-0.0","AAC9DJ81ZXUE7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2898","","survey-text","3","55766","0.0-3.0-0.0","AAC9DJ81ZXUE7","","","","{""Q0"":""AAC9DJ81ZXUE7""}","","","","","","","","","","","","","","","","","","","","","","",""
"113056","","image-button-response_instructions","4","168824","0.0-4.0","AAC9DJ81ZXUE7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"505258","","image-button-response_instructions","5","674083","0.0-5.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2307","","image-button-response_instructions","6","676392","0.0-6.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"991","","image-button-response_instructions","7","677384","0.0-7.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1304","","image-button-response_instructions","8","678689","0.0-8.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1622","","image-button-response_instructions","9","680311","0.0-9.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"991","","image-button-response_instructions","10","681304","0.0-10.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1055","","image-button-response_instructions","11","682359","0.0-11.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1080","","image-button-response_instructions","12","683441","0.0-12.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"799","","image-button-response_instructions","13","684240","0.0-13.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"662","","image-button-response_instructions","14","684904","0.0-14.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"768","","image-button-response_instructions","15","685672","0.0-15.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"672","","image-button-response_instructions","16","686344","0.0-16.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"672","","image-button-response_instructions","17","687016","0.0-17.0","AAC9DJ81ZXUE7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1206","","image-button-response_instructions","18","688223","0.0-18.0","AAC9DJ81ZXUE7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2718","","survey-text","19","690967","0.0-19.0-0.0","AAC9DJ81ZXUE7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"3607","","survey-text","20","694576","0.0-20.0-0.0","AAC9DJ81ZXUE7","","","","{""Q0"":""calming""}","","","","","","","","","","","","","","","","","","","","","","",""
"2487.1000000089407","","image-slider-response","21","697065","0.0-21.0","AAC9DJ81ZXUE7","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","702069","0.0-22.0","AAC9DJ81ZXUE7","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"929","","image-button-response","23","703000","0.0-23.0","AAC9DJ81ZXUE7","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3700","","image-button-response","24","706702","0.0-24.0-0.0","AAC9DJ81ZXUE7","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1152","","image-button-response","25","707856","0.0-25.0-0.0","AAC9DJ81ZXUE7","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","708858","0.0-26.0","AAC9DJ81ZXUE7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","6","calming","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"4180","","survey-text","27","713040","0.0-27.0-0.0","AAC9DJ81ZXUE7","","","","{""Q0"":""it's ok""}","","","","","","","","","","","","","","","","","","","","","","",""
"2891.7999999970198","","image-slider-response","28","715933","0.0-28.0","AAC9DJ81ZXUE7","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"2249","","image-button-response","29","720935","0.0-29.0","AAC9DJ81ZXUE7","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
