"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"366523","external_page_harvard.html","external-html","0","366686","0.0-0.0","AAHC7FON67MC3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334","","image-button-response","1","368023","0.0-1.0","AAHC7FON67MC3","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1056","","image-button-response","2","369087","0.0-2.0-0.0","AAHC7FON67MC3","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7683","","survey-text","3","376772","0.0-3.0-0.0","AAHC7FON67MC3","","","","{""Q0"":""AAHC7FON67MC3""}","","","","","","","","","","","","","","","","","","","","","","",""
"3008","","image-button-response_instructions","4","379782","0.0-4.0","AAHC7FON67MC3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6012","","image-button-response_instructions","5","385795","0.0-5.0","AAHC7FON67MC3","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3246","","image-button-response_instructions","6","389043","0.0-6.0","AAHC7FON67MC3","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11380","","image-button-response_instructions","7","400424","0.0-7.0","AAHC7FON67MC3","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7259","","image-button-response_instructions","8","407686","0.0-8.0","AAHC7FON67MC3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2258","","image-button-response_instructions","9","409945","0.0-9.0","AAHC7FON67MC3","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2265","","image-button-response_instructions","10","412211","0.0-10.0","AAHC7FON67MC3","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1892","","image-button-response_instructions","11","414105","0.0-11.0","AAHC7FON67MC3","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2561","","image-button-response_instructions","12","416667","0.0-12.0","AAHC7FON67MC3","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5044","","image-button-response_instructions","13","421713","0.0-13.0","AAHC7FON67MC3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32310","","image-button-response_instructions","14","454023","0.0-14.0","AAHC7FON67MC3","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4090","","image-button-response_instructions","15","458114","0.0-15.0","AAHC7FON67MC3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5875","","image-button-response_instructions","16","463991","0.0-16.0","AAHC7FON67MC3","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4093","","image-button-response_instructions","17","468085","0.0-17.0","AAHC7FON67MC3","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1406","","image-button-response_instructions","18","469493","0.0-18.0","AAHC7FON67MC3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7528","","survey-text","19","477054","0.0-19.0-0.0","AAHC7FON67MC3","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19885","","survey-text","20","496943","0.0-20.0-0.0","AAHC7FON67MC3","","","","{""Q0"":""Beautiful piece of art with strokes of color that pop""}","","","","","","","","","","","","","","","","","","","","","","",""
"4639.699999809265","","image-slider-response","21","501586","0.0-21.0","AAHC7FON67MC3","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","506603","0.0-22.0","AAHC7FON67MC3","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4617","","image-button-response","23","511223","0.0-23.0","AAHC7FON67MC3","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5821","","image-button-response","24","517048","0.0-24.0-0.0","AAHC7FON67MC3","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3358","","image-button-response","25","520411","0.0-25.0-0.0","AAHC7FON67MC3","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","520920","0.0-26.0","AAHC7FON67MC3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","40","Beautiful piece of art with strokes of color that pop","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"24865","","survey-text","27","545789","0.0-27.0-0.0","AAHC7FON67MC3","","","","{""Q0"":""Too dark. Makes me think of being angry""}","","","","","","","","","","","","","","","","","","","","","","",""
"4222","","image-slider-response","28","550013","0.0-28.0","AAHC7FON67MC3","","","","","-19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","555032","0.0-29.0","AAHC7FON67MC3","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2819","","image-button-response","30","557853","0.0-30.0","AAHC7FON67MC3","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5126","","image-button-response","31","562982","0.0-31.0-0.0","AAHC7FON67MC3","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5822","","image-button-response","32","568806","0.0-32.0-0.0","AAHC7FON67MC3","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
