"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16710","external_page_harvard.html","external-html","0","16822","0.0-0.0","ACJNWSBIVI46H","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555","","image-button-response","1","18384","0.0-1.0","ACJNWSBIVI46H","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2404","","image-button-response","2","20807","0.0-2.0-0.0","ACJNWSBIVI46H","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3328","","survey-text","3","24140","0.0-3.0-0.0","ACJNWSBIVI46H","","","","{""Q0"":""ACJNWSBIVI46H""}","","","","","","","","","","","","","","","","","","","","","","",""
"8574","","image-button-response_instructions","4","32721","0.0-4.0","ACJNWSBIVI46H","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10070","","image-button-response_instructions","5","42795","0.0-5.0","ACJNWSBIVI46H","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4330","","image-button-response_instructions","6","47129","0.0-6.0","ACJNWSBIVI46H","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6379","","image-button-response_instructions","7","53512","0.0-7.0","ACJNWSBIVI46H","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9770","","image-button-response_instructions","8","63287","0.0-8.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4063","","image-button-response_instructions","9","67353","0.0-9.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6555","","image-button-response_instructions","10","73911","0.0-10.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2199","","image-button-response_instructions","11","76113","0.0-11.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9606","","image-button-response_instructions","12","85722","0.0-12.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20100","","image-button-response_instructions","13","105826","0.0-13.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11250","","image-button-response_instructions","14","117078","0.0-14.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4658","","image-button-response_instructions","15","121741","0.0-15.0","ACJNWSBIVI46H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
