"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3748","external_page_harvard.html","external-html","0","3819","0.0-0.0","ACON9O9NMFOHE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1770","","image-button-response","1","5591","0.0-1.0","ACON9O9NMFOHE","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2380","","image-button-response","2","7975","0.0-2.0-0.0","ACON9O9NMFOHE","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5782","","survey-text","3","13759","0.0-3.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""ACON9O9NMFOHE""}","","","","","","","","","","","","","","","","","","","","","","",""
"521833","","image-button-response_instructions","4","535595","0.0-4.0","ACON9O9NMFOHE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8110","","image-button-response_instructions","5","543707","0.0-5.0","ACON9O9NMFOHE","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6391","","image-button-response_instructions","6","550099","0.0-6.0","ACON9O9NMFOHE","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1847","","image-button-response_instructions","7","551947","0.0-7.0","ACON9O9NMFOHE","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14023","","image-button-response_instructions","8","565971","0.0-8.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4254","","image-button-response_instructions","9","570226","0.0-9.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2807","","image-button-response_instructions","10","573034","0.0-10.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1935","","image-button-response_instructions","11","574971","0.0-11.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2680","","image-button-response_instructions","12","577651","0.0-12.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"158","","image-button-response_instructions","13","577811","0.0-13.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6591","","image-button-response_instructions","14","584402","0.0-14.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7111","","image-button-response_instructions","15","591514","0.0-15.0","ACON9O9NMFOHE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10855","","image-button-response_instructions","16","602371","0.0-16.0","ACON9O9NMFOHE","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3750","","image-button-response_instructions","17","606122","0.0-17.0","ACON9O9NMFOHE","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1375","","image-button-response_instructions","18","607498","0.0-18.0","ACON9O9NMFOHE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6562","","survey-text","19","614082","0.0-19.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14638","","survey-text","20","628722","0.0-20.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""It reminds me of a video game I once played""}","","","","","","","","","","","","","","","","","","","","","","",""
"2022.0999999046326","","image-slider-response","21","630746","0.0-21.0","ACON9O9NMFOHE","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","635749","0.0-22.0","ACON9O9NMFOHE","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6676","","image-button-response","23","642427","0.0-23.0","ACON9O9NMFOHE","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-button-response","24","645323","0.0-24.0-0.0","ACON9O9NMFOHE","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3453","","image-button-response","25","648779","0.0-25.0-0.0","ACON9O9NMFOHE","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","649783","0.0-26.0","ACON9O9NMFOHE","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","25","It reminds me of a video game I once played","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"10344","","survey-text","27","660138","0.0-27.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""It looks very industrial and mechanical.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3229.9000000953674","","image-slider-response","28","663370","0.0-28.0","ACON9O9NMFOHE","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","668373","0.0-29.0","ACON9O9NMFOHE","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963","","image-button-response","30","675338","0.0-30.0","ACON9O9NMFOHE","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1911","","image-button-response","31","677250","0.0-31.0-0.0","ACON9O9NMFOHE","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3637","","image-button-response","32","680890","0.0-32.0-0.0","ACON9O9NMFOHE","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","681393","0.0-33.0","ACON9O9NMFOHE","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-4","It looks very industrial and mechanical.","Kyle,John,Ben,James,Daniel,Jack","Idk, it is just annoying,-32,180,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Ben","meaningless painting,-45,60,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"15501","","survey-text","34","696898","0.0-34.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""I loved the sky blue theme of this artwork.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2614.4000000953674","","image-slider-response","35","699514","0.0-35.0","ACON9O9NMFOHE","","","","","39","","","","","","","","","","","","","","","","","","","","","",""
"4494","","image-button-response","36","704516","0.0-36.0","ACON9O9NMFOHE","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1811","","image-button-response","37","706330","0.0-37.0","ACON9O9NMFOHE","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4046","","image-button-response","38","710378","0.0-38.0-0.0","ACON9O9NMFOHE","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1998","","image-button-response","39","712378","0.0-39.0-0.0","ACON9O9NMFOHE","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","712881","0.0-40.0","ACON9O9NMFOHE","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","39","I loved the sky blue theme of this artwork.","Sam,John,Ben,Mike,Ron,Jack","I can feel a rainy day from this painting,18,240,20","I like the overlapping of brushes,41,160,20","This thing gives me anxiety,-41,60,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","I feel connected to the artist,40,120,20","Jack","I feel connected to the artist,40,120,20","John","I like the overlapping of brushes,41,160,20","Sam","I can feel a rainy day from this painting,18,240,20","0"
"5461","","image-button-response_instructions","41","718345","0.0-41.0","ACON9O9NMFOHE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9230","","survey-likert","42","727578","0.0-42.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4227","","survey-text","43","731809","0.0-43.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"16191","","survey-text","44","748001","0.0-44.0-0.0","ACON9O9NMFOHE","","","","{""Q0"":""This artwork feels demonic to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2566.100000143051","","image-slider-response","45","750569","0.0-45.0","ACON9O9NMFOHE","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","755592","0.0-46.0","ACON9O9NMFOHE","img_art/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3504","","image-button-response","47","759098","0.0-47.0","ACON9O9NMFOHE","img_art/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","","image-button-response","48","760049","0.0-48.0-0.0","ACON9O9NMFOHE","img_art/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2999","","image-button-response","49","763050","0.0-49.0-0.0","ACON9O9NMFOHE","img_art/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
