"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6891","external_page_harvard.html","external-html","0","7020","0.0-0.0","AD1ILDUXZHASF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3906","","image-button-response","1","10929","0.0-1.0","AD1ILDUXZHASF","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100","","image-button-response","2","12041","0.0-2.0-0.0","AD1ILDUXZHASF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2308","","survey-text","3","14352","0.0-3.0-0.0","AD1ILDUXZHASF","","","","{""Q0"":""AD1ILDUXZHASF""}","","","","","","","","","","","","","","","","","","","","","","",""
"2741","","image-button-response_instructions","4","17096","0.0-4.0","AD1ILDUXZHASF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2190","","image-button-response_instructions","5","19290","0.0-5.0","AD1ILDUXZHASF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2514","","image-button-response_instructions","6","21808","0.0-6.0","AD1ILDUXZHASF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4150","","image-button-response_instructions","7","25960","0.0-7.0","AD1ILDUXZHASF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3044","","image-button-response_instructions","8","29008","0.0-8.0","AD1ILDUXZHASF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2078","","image-button-response_instructions","9","31088","0.0-9.0","AD1ILDUXZHASF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
