"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4387","external_page_harvard.html","external-html","0","4553","0.0-0.0","ADVJB810K4OYR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1229","","image-button-response","1","5786","0.0-1.0","ADVJB810K4OYR","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161","","image-button-response","2","6957","0.0-2.0-0.0","ADVJB810K4OYR","","0","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"754","","image-button-response","3","11110","0.0-2.1-0.1","ADVJB810K4OYR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8826","","survey-text","4","19938","0.0-3.0-0.0","ADVJB810K4OYR","","","","{""Q0"":""ADVJB810K4OYR ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3974","","survey-text","5","25702","0.0-3.1-0.1","ADVJB810K4OYR","","","","{""Q0"":""ADVJB810K4OYR""}","","","","","","","","","","","","","","","","","","","","","","",""
"2575","","image-button-response_instructions","6","28280","0.0-4.0","ADVJB810K4OYR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1274","","image-button-response_instructions","7","29556","0.0-5.0","ADVJB810K4OYR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2506","","image-button-response_instructions","8","32064","0.0-6.0","ADVJB810K4OYR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1170","","image-button-response_instructions","9","33236","0.0-7.0","ADVJB810K4OYR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"790","","image-button-response_instructions","10","34028","0.0-8.0","ADVJB810K4OYR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"664","","image-button-response_instructions","11","34694","0.0-9.0","ADVJB810K4OYR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"764","","image-button-response_instructions","12","35460","0.0-10.0","ADVJB810K4OYR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"572","","image-button-response_instructions","13","36034","0.0-11.0","ADVJB810K4OYR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"762","","image-button-response_instructions","14","36797","0.0-12.0","ADVJB810K4OYR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"557","","image-button-response_instructions","15","37356","0.0-13.0","ADVJB810K4OYR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"490","","image-button-response_instructions","16","37848","0.0-14.0","ADVJB810K4OYR","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"774","","image-button-response_instructions","17","38624","0.0-15.0","ADVJB810K4OYR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"564","","image-button-response_instructions","18","39190","0.0-16.0","ADVJB810K4OYR","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"650","","image-button-response_instructions","19","39842","0.0-17.0","ADVJB810K4OYR","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1270","","image-button-response_instructions","20","41115","0.0-18.0","ADVJB810K4OYR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7793","","survey-text","21","48945","0.0-19.0-0.0","ADVJB810K4OYR","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15987","","survey-text","22","64935","0.0-20.0-0.0","ADVJB810K4OYR","","","","{""Q0"":""looks simple""}","","","","","","","","","","","","","","","","","","","","","","",""
"4108.775000029709","","image-slider-response","23","69049","0.0-21.0","ADVJB810K4OYR","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","24","74056","0.0-22.0","ADVJB810K4OYR","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1121","","image-button-response","25","75181","0.0-23.0","ADVJB810K4OYR","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2944","","image-button-response","26","78130","0.0-24.0-0.0","ADVJB810K4OYR","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
