"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8845","external_page_harvard.html","external-html","0","8939","0.0-0.0","AG2YM9OWQP690","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771","","image-button-response","1","10713","0.0-1.0","AG2YM9OWQP690","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2246","","image-button-response","2","12968","0.0-2.0-0.0","AG2YM9OWQP690","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8037","","survey-text","3","21008","0.0-3.0-0.0","AG2YM9OWQP690","","","","{""Q0"":""AG2YM9OWQP690""}","","","","","","","","","","","","","","","","","","","","","","",""
"8915","","image-button-response_instructions","4","29927","0.0-4.0","AG2YM9OWQP690","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25173","","image-button-response_instructions","5","55103","0.0-5.0","AG2YM9OWQP690","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5512","","image-button-response_instructions","6","60618","0.0-6.0","AG2YM9OWQP690","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16788","","image-button-response_instructions","7","77408","0.0-7.0","AG2YM9OWQP690","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5766","","image-button-response_instructions","8","83176","0.0-8.0","AG2YM9OWQP690","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5242","","image-button-response_instructions","9","88420","0.0-9.0","AG2YM9OWQP690","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3164","","image-button-response_instructions","10","91586","0.0-10.0","AG2YM9OWQP690","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3410","","image-button-response_instructions","11","94998","0.0-11.0","AG2YM9OWQP690","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7466","","image-button-response_instructions","12","102466","0.0-12.0","AG2YM9OWQP690","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11519","","image-button-response_instructions","13","113987","0.0-13.0","AG2YM9OWQP690","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7716","","image-button-response_instructions","14","121705","0.0-14.0","AG2YM9OWQP690","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7260","","image-button-response_instructions","15","128967","0.0-15.0","AG2YM9OWQP690","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8562","","image-button-response_instructions","16","137531","0.0-16.0","AG2YM9OWQP690","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5012","","image-button-response_instructions","17","142545","0.0-17.0","AG2YM9OWQP690","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1916","","image-button-response_instructions","18","144463","0.0-18.0","AG2YM9OWQP690","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16628","","survey-text","19","161139","0.0-19.0-0.0","AG2YM9OWQP690","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18222","","survey-text","20","179365","0.0-20.0-0.0","AG2YM9OWQP690","","","","{""Q0"":""I think this painting is ugly""}","","","","","","","","","","","","","","","","","","","","","","",""
"6922","","image-slider-response","21","186292","0.0-21.0","AG2YM9OWQP690","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","191310","0.0-22.0","AG2YM9OWQP690","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10396","","image-button-response","23","201710","0.0-23.0","AG2YM9OWQP690","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10553","","image-button-response","24","212267","0.0-24.0-0.0","AG2YM9OWQP690","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"9647","","image-button-response","25","221919","0.0-25.0-0.0","AG2YM9OWQP690","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","222433","0.0-26.0","AG2YM9OWQP690","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-39","I think this painting is ugly","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"24944","","survey-text","27","247384","0.0-27.0-0.0","AG2YM9OWQP690","","","","{""Q0"":""very dark colors and makes me depressed""}","","","","","","","","","","","","","","","","","","","","","","",""
"4106.599999904633","","image-slider-response","28","251494","0.0-28.0","AG2YM9OWQP690","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","256511","0.0-29.0","AG2YM9OWQP690","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3683","","image-button-response","30","260197","0.0-30.0","AG2YM9OWQP690","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"9556","","image-button-response","31","269757","0.0-31.0-0.0","AG2YM9OWQP690","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"18727","","image-button-response","32","288489","0.0-32.0-0.0","AG2YM9OWQP690","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","289499","0.0-33.0","AG2YM9OWQP690","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-50","very dark colors and makes me depressed","Allison,Ashley,Jenna,Dora,Kara,Katie","I don't have strong feelings about this,10,20,20","Idk, it is just annoying,-32,40,20","One of my pet peevs,-48,140,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Dora","looks too angry,-50,80,20","Ashley","Idk, it is just annoying,-32,40,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"22982","","survey-text","34","312487","0.0-34.0-0.0","AG2YM9OWQP690","","","","{""Q0"":""I feel like I am in freezer with ice all around me""}","","","","","","","","","","","","","","","","","","","","","","",""
"4451.900000095367","","image-slider-response","35","316942","0.0-35.0","AG2YM9OWQP690","","","","","-12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","321958","0.0-36.0","AG2YM9OWQP690","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
