"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"19976","external_page_harvard.html","external-html","0","20036","0.0-0.0","AI5RMOS8R652G","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1750","","image-button-response","1","21787","0.0-1.0","AI5RMOS8R652G","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1947","","image-button-response","2","23738","0.0-2.0-0.0","AI5RMOS8R652G","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4937","","survey-text","3","28678","0.0-3.0-0.0","AI5RMOS8R652G","","","","{""Q0"":""AI5RMOS8R652G""}","","","","","","","","","","","","","","","","","","","","","","",""
"10645","","image-button-response_instructions","4","39326","0.0-4.0","AI5RMOS8R652G","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14292","","image-button-response_instructions","5","53620","0.0-5.0","AI5RMOS8R652G","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5795","","image-button-response_instructions","6","59417","0.0-6.0","AI5RMOS8R652G","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4511","","image-button-response_instructions","7","63930","0.0-7.0","AI5RMOS8R652G","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11801","","image-button-response_instructions","8","75734","0.0-8.0","AI5RMOS8R652G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4969","","image-button-response_instructions","9","80706","0.0-9.0","AI5RMOS8R652G","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4309","","image-button-response_instructions","10","85017","0.0-10.0","AI5RMOS8R652G","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response_instructions","11","88165","0.0-11.0","AI5RMOS8R652G","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11193","","image-button-response_instructions","12","99359","0.0-12.0","AI5RMOS8R652G","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"31860","","image-button-response_instructions","13","131221","0.0-13.0","AI5RMOS8R652G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12728","","image-button-response_instructions","14","143951","0.0-14.0","AI5RMOS8R652G","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6529","","image-button-response_instructions","15","150481","0.0-15.0","AI5RMOS8R652G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11039","","image-button-response_instructions","16","161521","0.0-16.0","AI5RMOS8R652G","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10358","","image-button-response_instructions","17","171880","0.0-17.0","AI5RMOS8R652G","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1634","","image-button-response_instructions","18","173516","0.0-18.0","AI5RMOS8R652G","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
