"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11195","external_page_harvard.html","external-html","0","11696","0.0-0.0","AJ7JFYKBG85ZV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1296","","image-button-response","1","12994","0.0-1.0","AJ7JFYKBG85ZV","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2278","","image-button-response","2","15279","0.0-2.0-0.0","AJ7JFYKBG85ZV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3961","","survey-text","3","19243","0.0-3.0-0.0","AJ7JFYKBG85ZV","","","","{""Q0"":""AJ7JFYKBG85ZV""}","","","","","","","","","","","","","","","","","","","","","","",""
"3035","","image-button-response_instructions","4","22282","0.0-4.0","AJ7JFYKBG85ZV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7114","","image-button-response_instructions","5","29398","0.0-5.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7825","","image-button-response_instructions","6","37223","0.0-6.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2514","","image-button-response_instructions","7","39738","0.0-7.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5593","","image-button-response_instructions","8","45332","0.0-8.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3141","","image-button-response_instructions","9","48474","0.0-9.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2628","","image-button-response_instructions","10","51104","0.0-10.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1580","","image-button-response_instructions","11","52684","0.0-11.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2758","","image-button-response_instructions","12","55444","0.0-12.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7361","","image-button-response_instructions","13","62807","0.0-13.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6690","","image-button-response_instructions","14","69499","0.0-14.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18607","","image-button-response_instructions","15","88108","0.0-15.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2628","","image-button-response_instructions","16","90738","0.0-16.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2790","","image-button-response_instructions","17","93530","0.0-17.0","AJ7JFYKBG85ZV","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1955","","image-button-response_instructions","18","95486","0.0-18.0","AJ7JFYKBG85ZV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4674","","survey-text","19","100190","0.0-19.0-0.0","AJ7JFYKBG85ZV","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"38802","","survey-text","20","138993","0.0-20.0-0.0","AJ7JFYKBG85ZV","","","","{""Q0"":""I like how the brush strokes are chunky""}","","","","","","","","","","","","","","","","","","","","","","",""
"2688.7000000001863","","image-slider-response","21","141686","0.0-21.0","AJ7JFYKBG85ZV","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"2619","","image-button-response","22","146692","0.0-22.0","AJ7JFYKBG85ZV","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1439","","image-button-response","23","148137","0.0-23.0","AJ7JFYKBG85ZV","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1013","","image-button-response","24","149152","0.0-24.0-0.0","AJ7JFYKBG85ZV","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2399","","image-button-response","25","151556","0.0-25.0-0.0","AJ7JFYKBG85ZV","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","152059","0.0-26.0","AJ7JFYKBG85ZV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","8","I like how the brush strokes are chunky","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"10536","","survey-text","27","162600","0.0-27.0-0.0","AJ7JFYKBG85ZV","","","","{""Q0"":""I love the bold colors in the painting""}","","","","","","","","","","","","","","","","","","","","","","",""
"2568.2999999998137","","image-slider-response","28","165170","0.0-28.0","AJ7JFYKBG85ZV","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"1838","","image-button-response","29","170182","0.0-29.0","AJ7JFYKBG85ZV","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6463","","image-button-response","30","176649","0.0-30.0","AJ7JFYKBG85ZV","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3193","","image-button-response","31","179845","0.0-31.0-0.0","AJ7JFYKBG85ZV","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
