"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17835","external_page_harvard.html","external-html","0","17976","0.0-0.0","AK1GE19RT3PK6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1542","","image-button-response","1","19526","0.0-1.0","AK1GE19RT3PK6","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1786","","image-button-response","2","21334","0.0-2.0-0.0","AK1GE19RT3PK6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5668","","survey-text","3","27014","0.0-3.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""AK1GE19RT3PK6""}","","","","","","","","","","","","","","","","","","","","","","",""
"4325","","image-button-response_instructions","4","31355","0.0-4.0","AK1GE19RT3PK6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9802","","image-button-response_instructions","5","41165","0.0-5.0","AK1GE19RT3PK6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4689","","image-button-response_instructions","6","45862","0.0-6.0","AK1GE19RT3PK6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3816","","image-button-response_instructions","7","49685","0.0-7.0","AK1GE19RT3PK6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5592","","image-button-response_instructions","8","55290","0.0-8.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3372","","image-button-response_instructions","9","58670","0.0-9.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3006","","image-button-response_instructions","10","61688","0.0-10.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2428","","image-button-response_instructions","11","64128","0.0-11.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6213","","image-button-response_instructions","12","70350","0.0-12.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10526","","image-button-response_instructions","13","80890","0.0-13.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12845","","image-button-response_instructions","14","93745","0.0-14.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3870","","image-button-response_instructions","15","97628","0.0-15.0","AK1GE19RT3PK6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7154","","image-button-response_instructions","16","104792","0.0-16.0","AK1GE19RT3PK6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3638","","image-button-response_instructions","17","108443","0.0-17.0","AK1GE19RT3PK6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1843","","image-button-response_instructions","18","110300","0.0-18.0","AK1GE19RT3PK6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6646","","survey-text","19","117050","0.0-19.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"8630","","survey-text","20","125691","0.0-20.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""I like the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5580.39999999851","","image-slider-response","21","131285","0.0-21.0","AK1GE19RT3PK6","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","136301","0.0-22.0","AK1GE19RT3PK6","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4275","","image-button-response","23","140592","0.0-23.0","AK1GE19RT3PK6","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","","image-button-response","24","141556","0.0-24.0-0.0","AK1GE19RT3PK6","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1703","","image-button-response","25","143273","0.0-25.0-0.0","AK1GE19RT3PK6","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","144782","0.0-26.0","AK1GE19RT3PK6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","11","I like the colors.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","0"
"14451","","survey-text","27","159253","0.0-27.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""I don't like it or the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2803.39999999851","","image-slider-response","28","162069","0.0-28.0","AK1GE19RT3PK6","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","167085","0.0-29.0","AK1GE19RT3PK6","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1026","","image-button-response","30","168126","0.0-30.0","AK1GE19RT3PK6","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"606","","image-button-response","31","168742","0.0-31.0-0.0","AK1GE19RT3PK6","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4791","","image-button-response","32","173556","0.0-32.0-0.0","AK1GE19RT3PK6","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","175064","0.0-33.0","AK1GE19RT3PK6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-50","I don't like it or the colors.","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Kyle","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"12241","","survey-text","34","187324","0.0-34.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""I like the colors and it feels cool.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4179.60000000149","","image-slider-response","35","191517","0.0-35.0","AK1GE19RT3PK6","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","196530","0.0-36.0","AK1GE19RT3PK6","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"877","","image-button-response","37","197419","0.0-37.0","AK1GE19RT3PK6","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"747","","image-button-response","38","198180","0.0-38.0-0.0","AK1GE19RT3PK6","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"633","","image-button-response","39","198825","0.0-39.0-0.0","AK1GE19RT3PK6","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","200333","0.0-40.0","AK1GE19RT3PK6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","12","I like the colors and it feels cool.","James,Mike,Kyle,Carl,Ron,Sam","My worst nightmare,-42,140,20","enjoy the different shades of blue,22,200,20","It looks like a playground for bats,-36,180,20","It's an alright work,15,80,20","It looks depressing,-26,220,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","Carl","It's an alright work,15,80,20","0"
"4464","","image-button-response_instructions","41","204820","0.0-41.0","AK1GE19RT3PK6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11345","","survey-likert","42","216177","0.0-42.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":"""",""Q1"":1,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5315","","survey-likert","43","223549","0.0-42.1-0.1","AK1GE19RT3PK6","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3952","","survey-text","44","227525","0.0-43.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"16788","","survey-text","45","244321","0.0-44.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""I think it is too strange and boring.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2770.89999999851","","image-slider-response","46","247101","0.0-45.0","AK1GE19RT3PK6","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","252178","0.0-46.0","AK1GE19RT3PK6","img_art/10.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2162","","image-button-response","48","254354","0.0-47.0","AK1GE19RT3PK6","img_art/10.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"8082","","image-button-response","49","262450","0.0-48.0-0.0","AK1GE19RT3PK6","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"856","","image-button-response","50","263321","0.0-49.0-0.0","AK1GE19RT3PK6","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","264829","0.0-50.0","AK1GE19RT3PK6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/10.jpg","-50","I think it is too strange and boring.","Noah,Adam,Stephen,Michael,Dakota,Brandon","not sure what to make of this one,0,260,20","I like the contrast,10,40,20","Very nice painting, would like it more with different color choice.,6,140,20","Ugly and low skill. I wouldn't want it.,-50,140,20","I feel a state of readiness without anxiety.,24,280,20","Too abstract and it doesn't really remind me of anything,-40,320,20","Noah","not sure what to make of this one,0,260,20","Brandon","Too abstract and it doesn't really remind me of anything,-40,320,20","Michael","Ugly and low skill. I wouldn't want it.,-50,140,20","1"
"12644","","survey-text","52","277493","0.0-51.0-0.0","AK1GE19RT3PK6","","","","{""Q0"":""I really like the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3476.8000000044703","","image-slider-response","53","280979","0.0-52.0","AK1GE19RT3PK6","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","285992","0.0-53.0","AK1GE19RT3PK6","img_art/17.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3530","","image-button-response","55","289537","0.0-54.0","AK1GE19RT3PK6","img_art/17.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"651","","image-button-response","56","290200","0.0-55.0-0.0","AK1GE19RT3PK6","img_art/17.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2213","","image-button-response","57","292427","0.0-56.0-0.0","AK1GE19RT3PK6","img_art/17.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
