"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6845","external_page_harvard.html","external-html","0","6952","0.0-0.0","AMLZT92RF3MYY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1364","","image-button-response","1","8317","0.0-1.0","AMLZT92RF3MYY","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1538","","image-button-response","2","9857","0.0-2.0-0.0","AMLZT92RF3MYY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4265","","survey-text","3","14123","0.0-3.0-0.0","AMLZT92RF3MYY","","","","{""Q0"":""AMLZT92RF3MYY""}","","","","","","","","","","","","","","","","","","","","","","",""
"6397","","image-button-response_instructions","4","20521","0.0-4.0","AMLZT92RF3MYY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11513","","image-button-response_instructions","5","32035","0.0-5.0","AMLZT92RF3MYY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3370","","image-button-response_instructions","6","35405","0.0-6.0","AMLZT92RF3MYY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4406","","image-button-response_instructions","7","39811","0.0-7.0","AMLZT92RF3MYY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7724","","image-button-response_instructions","8","47535","0.0-8.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2211","","image-button-response_instructions","9","49747","0.0-9.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2554","","image-button-response_instructions","10","52301","0.0-10.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1405","","image-button-response_instructions","11","53707","0.0-11.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3382","","image-button-response_instructions","12","57090","0.0-12.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5292","","image-button-response_instructions","13","62382","0.0-13.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2054","","image-button-response_instructions","14","64436","0.0-14.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3069","","image-button-response_instructions","15","67506","0.0-15.0","AMLZT92RF3MYY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4336","","image-button-response_instructions","16","71842","0.0-16.0","AMLZT92RF3MYY","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","","image-button-response_instructions","17","74952","0.0-17.0","AMLZT92RF3MYY","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1061","","image-button-response_instructions","18","76014","0.0-18.0","AMLZT92RF3MYY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5589","","survey-text","19","81616","0.0-19.0-0.0","AMLZT92RF3MYY","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25188","","survey-text","20","106804","0.0-20.0-0.0","AMLZT92RF3MYY","","","","{""Q0"":""the colors in this painting provide a sense of calming to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"7124.700000047684","","image-slider-response","21","113930","0.0-21.0","AMLZT92RF3MYY","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","118933","0.0-22.0","AMLZT92RF3MYY","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
