"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"78853","external_page_harvard.html","external-html","0","78945","0.0-0.0","AMVBT3XDCQBHI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3833","","image-button-response","1","82781","0.0-1.0","AMVBT3XDCQBHI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6063","","image-button-response","2","88852","0.0-2.0-0.0","AMVBT3XDCQBHI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9723","","survey-text","3","98577","0.0-3.0-0.0","AMVBT3XDCQBHI","","","","{""Q0"":""AMVBT3XDCQBHI""}","","","","","","","","","","","","","","","","","","","","","","",""
"6423","","image-button-response_instructions","4","105002","0.0-4.0","AMVBT3XDCQBHI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"40901","","image-button-response_instructions","5","145905","0.0-5.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18520","","image-button-response_instructions","6","164426","0.0-6.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13935","","image-button-response_instructions","7","178362","0.0-7.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32424","","image-button-response_instructions","8","210788","0.0-8.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6452","","image-button-response_instructions","9","217241","0.0-9.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6413","","image-button-response_instructions","10","223655","0.0-10.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7264","","image-button-response_instructions","11","230921","0.0-11.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15270","","image-button-response_instructions","12","246193","0.0-12.0","AMVBT3XDCQBHI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
