"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16569","external_page_harvard.html","external-html","0","16698","0.0-0.0","AP9WIQ4P78XLH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2213","","image-button-response","1","18919","0.0-1.0","AP9WIQ4P78XLH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2870","","image-button-response","2","21806","0.0-2.0-0.0","AP9WIQ4P78XLH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5172","","survey-text","3","26982","0.0-3.0-0.0","AP9WIQ4P78XLH","","","","{""Q0"":""AP9WIQ4P78XLH""}","","","","","","","","","","","","","","","","","","","","","","",""
"6712","","image-button-response_instructions","4","33699","0.0-4.0","AP9WIQ4P78XLH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10609","","image-button-response_instructions","5","44310","0.0-5.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4548","","image-button-response_instructions","6","48861","0.0-6.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3819","","image-button-response_instructions","7","52683","0.0-7.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10208","","image-button-response_instructions","8","62894","0.0-8.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2268","","image-button-response_instructions","9","65166","0.0-9.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2271","","image-button-response_instructions","10","67440","0.0-10.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4350","","image-button-response_instructions","11","71794","0.0-11.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7358","","image-button-response_instructions","12","79158","0.0-12.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6602","","image-button-response_instructions","13","85766","0.0-13.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6104","","image-button-response_instructions","14","91874","0.0-14.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3593","","image-button-response_instructions","15","95469","0.0-15.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8661","","image-button-response_instructions","16","104133","0.0-16.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2902","","image-button-response_instructions","17","107039","0.0-17.0","AP9WIQ4P78XLH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1612","","image-button-response_instructions","18","108653","0.0-18.0","AP9WIQ4P78XLH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4657","","survey-text","19","113365","0.0-19.0-0.0","AP9WIQ4P78XLH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"21986","","survey-text","20","135356","0.0-20.0-0.0","AP9WIQ4P78XLH","","","","{""Q0"":""Looks like a hillside next to a lake at sunset.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3564","","image-slider-response","21","138933","0.0-21.0","AP9WIQ4P78XLH","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","143944","0.0-22.0","AP9WIQ4P78XLH","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6246","","image-button-response","23","150192","0.0-23.0","AP9WIQ4P78XLH","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6856","","image-button-response","24","157054","0.0-24.0-0.0","AP9WIQ4P78XLH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7591","","image-button-response","25","164652","0.0-25.0-0.0","AP9WIQ4P78XLH","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","165659","0.0-26.0","AP9WIQ4P78XLH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","18","Looks like a hillside next to a lake at sunset.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Adam","Seems like doodles,-20,20,20","0"
"30152","","survey-text","27","195828","0.0-27.0-0.0","AP9WIQ4P78XLH","","","","{""Q0"":""Interesting textured mixed media piece with heavy strokes.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3815","","image-slider-response","28","199647","0.0-28.0","AP9WIQ4P78XLH","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"2778","","image-button-response","29","204654","0.0-29.0","AP9WIQ4P78XLH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1244","","image-button-response","30","205901","0.0-30.0","AP9WIQ4P78XLH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"9651","","image-button-response","31","215557","0.0-31.0-0.0","AP9WIQ4P78XLH","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"899","","image-button-response","32","216460","0.0-32.0-0.0","AP9WIQ4P78XLH","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","217965","0.0-33.0","AP9WIQ4P78XLH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","10","Interesting textured mixed media piece with heavy strokes.","Adam,James,Kyle,Carl,John,Jack","too much color,-18,20,20","looks too angry,-50,140,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"36091","","survey-text","34","254069","0.0-34.0-0.0","AP9WIQ4P78XLH","","","","{""Q0"":""Gorgeous and wistful piece; a nostalgic rainy day from childhood.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3642","","image-slider-response","35","257716","0.0-35.0","AP9WIQ4P78XLH","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","262721","0.0-36.0","AP9WIQ4P78XLH","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2784","","image-button-response","37","265508","0.0-37.0","AP9WIQ4P78XLH","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
