"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"47849","external_page_harvard.html","external-html","0","47962","0.0-0.0","API7K4R8MF7VD","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3817","","image-button-response","1","51782","0.0-1.0","API7K4R8MF7VD","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1358","","image-button-response","2","53146","0.0-2.0-0.0","API7K4R8MF7VD","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9177","","survey-text","3","62324","0.0-3.0-0.0","API7K4R8MF7VD","","","","{""Q0"":""API7K4R8MF7VD""}","","","","","","","","","","","","","","","","","","","","","","",""
"7864","","image-button-response_instructions","4","70190","0.0-4.0","API7K4R8MF7VD","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27582","","image-button-response_instructions","5","97773","0.0-5.0","API7K4R8MF7VD","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4546","","image-button-response_instructions","6","102321","0.0-6.0","API7K4R8MF7VD","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12238","","image-button-response_instructions","7","114561","0.0-7.0","API7K4R8MF7VD","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5765","","image-button-response_instructions","8","120327","0.0-8.0","API7K4R8MF7VD","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4314","","image-button-response_instructions","9","124643","0.0-9.0","API7K4R8MF7VD","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5313","","image-button-response_instructions","10","129957","0.0-10.0","API7K4R8MF7VD","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4129","","image-button-response_instructions","11","134087","0.0-11.0","API7K4R8MF7VD","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4339","","image-button-response_instructions","12","138427","0.0-12.0","API7K4R8MF7VD","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18929","","image-button-response_instructions","13","157357","0.0-13.0","API7K4R8MF7VD","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9461","","image-button-response_instructions","14","166819","0.0-14.0","API7K4R8MF7VD","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8916","","image-button-response_instructions","15","175737","0.0-15.0","API7K4R8MF7VD","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11411","","image-button-response_instructions","16","187149","0.0-16.0","API7K4R8MF7VD","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4159","","image-button-response_instructions","17","191308","0.0-17.0","API7K4R8MF7VD","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2369","","image-button-response_instructions","18","193679","0.0-18.0","API7K4R8MF7VD","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7428","","survey-text","19","201133","0.0-19.0-0.0","API7K4R8MF7VD","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"42754","","survey-text","20","243889","0.0-20.0-0.0","API7K4R8MF7VD","","","","{""Q0"":""reminds me of Neapolitan ice cream and is happy thoughts. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5245.4000000059605","","image-slider-response","21","249137","0.0-21.0","API7K4R8MF7VD","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","254140","0.0-22.0","API7K4R8MF7VD","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1329","","image-button-response","23","255471","0.0-23.0","API7K4R8MF7VD","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"17860","","image-button-response","24","273333","0.0-24.0-0.0","API7K4R8MF7VD","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3417","","image-button-response","25","276752","0.0-25.0-0.0","API7K4R8MF7VD","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
