"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21310","external_page_harvard.html","external-html","0","21389","0.0-0.0","AQKC1VIZAZ6VI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","image-button-response","1","22909","0.0-1.0","AQKC1VIZAZ6VI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2518","","image-button-response","2","25429","0.0-2.0-0.0","AQKC1VIZAZ6VI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"14858","","survey-text","3","40289","0.0-3.0-0.0","AQKC1VIZAZ6VI","","","","{""Q0"":""AQKC1VIZAZ6VI""}","","","","","","","","","","","","","","","","","","","","","","",""
"7828","","image-button-response_instructions","4","48119","0.0-4.0","AQKC1VIZAZ6VI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"61919","","image-button-response_instructions","5","110038","0.0-5.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11189","","image-button-response_instructions","6","121228","0.0-6.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5943","","image-button-response_instructions","7","127172","0.0-7.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19450","","image-button-response_instructions","8","146624","0.0-8.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2437","","image-button-response_instructions","9","149061","0.0-9.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3265","","image-button-response_instructions","10","152328","0.0-10.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3212","","image-button-response_instructions","11","155540","0.0-11.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6234","","image-button-response_instructions","12","161775","0.0-12.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7119","","image-button-response_instructions","13","168894","0.0-13.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7965","","image-button-response_instructions","14","176860","0.0-14.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2549","","image-button-response_instructions","15","179410","0.0-15.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4746","","image-button-response_instructions","16","184158","0.0-16.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2196","","image-button-response_instructions","17","186355","0.0-17.0","AQKC1VIZAZ6VI","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1570","","image-button-response_instructions","18","187925","0.0-18.0","AQKC1VIZAZ6VI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6627","","survey-text","19","194568","0.0-19.0-0.0","AQKC1VIZAZ6VI","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"36083","","survey-text","20","230653","0.0-20.0-0.0","AQKC1VIZAZ6VI","","","","{""Q0"":""looks like an abstract of a field full of flowers""}","","","","","","","","","","","","","","","","","","","","","","",""
"4216.5","","image-slider-response","21","234871","0.0-21.0","AQKC1VIZAZ6VI","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","239879","0.0-22.0","AQKC1VIZAZ6VI","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"744","","image-button-response","23","240625","0.0-23.0","AQKC1VIZAZ6VI","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2611","","image-button-response","24","243238","0.0-24.0-0.0","AQKC1VIZAZ6VI","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1378","","image-button-response","25","244618","0.0-25.0-0.0","AQKC1VIZAZ6VI","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
