"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11298","external_page_harvard.html","external-html","0","11687","0.0-0.0","AQXEQDTAU4MJ4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","1","13214","0.0-1.0","AQXEQDTAU4MJ4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3364","","image-button-response","2","16592","0.0-2.0-0.0","AQXEQDTAU4MJ4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6957","","survey-text","3","23554","0.0-3.0-0.0","AQXEQDTAU4MJ4","","","","{""Q0"":""AQXEQDTAU4MJ4""}","","","","","","","","","","","","","","","","","","","","","","",""
"5438","","image-button-response_instructions","4","29002","0.0-4.0","AQXEQDTAU4MJ4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16096","","image-button-response_instructions","5","45103","0.0-5.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6949","","image-button-response_instructions","6","52055","0.0-6.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12731","","image-button-response_instructions","7","64791","0.0-7.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6564","","image-button-response_instructions","8","71359","0.0-8.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5532","","image-button-response_instructions","9","76895","0.0-9.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4338","","image-button-response_instructions","10","81238","0.0-10.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3101","","image-button-response_instructions","11","84344","0.0-11.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5276","","image-button-response_instructions","12","89625","0.0-12.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8756","","image-button-response_instructions","13","98386","0.0-13.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6414","","image-button-response_instructions","14","104804","0.0-14.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5307","","image-button-response_instructions","15","110114","0.0-15.0","AQXEQDTAU4MJ4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
