"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17302","external_page_harvard.html","external-html","0","17388","0.0-0.0","ASVRLMDNQBUD9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2169","","image-button-response","1","19559","0.0-1.0","ASVRLMDNQBUD9","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3659","","image-button-response","2","23224","0.0-2.0-0.0","ASVRLMDNQBUD9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6517","","survey-text","3","29743","0.0-3.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""ASVRLMDNQBUD9""}","","","","","","","","","","","","","","","","","","","","","","",""
"8558","","image-button-response_instructions","4","38304","0.0-4.0","ASVRLMDNQBUD9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24112","","image-button-response_instructions","5","62418","0.0-5.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10839","","image-button-response_instructions","6","73259","0.0-6.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7617","","image-button-response_instructions","7","80879","0.0-7.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7767","","image-button-response_instructions","8","88648","0.0-8.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7468","","image-button-response_instructions","9","96117","0.0-9.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5413","","image-button-response_instructions","10","101532","0.0-10.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3788","","image-button-response_instructions","11","105322","0.0-11.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12703","","image-button-response_instructions","12","118027","0.0-12.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28738","","image-button-response_instructions","13","146767","0.0-13.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11948","","image-button-response_instructions","14","158717","0.0-14.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7032","","image-button-response_instructions","15","165750","0.0-15.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16714","","image-button-response_instructions","16","182466","0.0-16.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7920","","image-button-response_instructions","17","190387","0.0-17.0","ASVRLMDNQBUD9","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2670","","image-button-response_instructions","18","193060","0.0-18.0","ASVRLMDNQBUD9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7451","","survey-text","19","200549","0.0-19.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"29337","","survey-text","20","229889","0.0-20.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""like water rushing over the land in a flood.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7737","","image-slider-response","21","237629","0.0-21.0","ASVRLMDNQBUD9","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","242638","0.0-22.0","ASVRLMDNQBUD9","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7683","","image-button-response","23","250325","0.0-23.0","ASVRLMDNQBUD9","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"10317","","image-button-response","24","260645","0.0-24.0-0.0","ASVRLMDNQBUD9","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3211","","image-button-response","25","263860","0.0-25.0-0.0","ASVRLMDNQBUD9","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7643","","image-button-response","26","276219","0.0-25.1-0.1","ASVRLMDNQBUD9","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","276724","0.0-26.0","ASVRLMDNQBUD9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-10","like water rushing over the land in a flood.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","2"
"42547","","survey-text","28","319277","0.0-27.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""doesn't really capture much interest.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6971.70000000298","","image-slider-response","29","326252","0.0-28.0","ASVRLMDNQBUD9","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","331257","0.0-29.0","ASVRLMDNQBUD9","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6709","","image-button-response","31","337970","0.0-30.0","ASVRLMDNQBUD9","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"259","","image-button-response","32","338233","0.0-31.0-0.0","ASVRLMDNQBUD9","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2475","","image-button-response","33","344579","0.0-31.1-0.1","ASVRLMDNQBUD9","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7494","","image-button-response","34","352077","0.0-32.0-0.0","ASVRLMDNQBUD9","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","35","353581","0.0-33.0","ASVRLMDNQBUD9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-20","doesn't really capture much interest.","Adam,Alex,James,Carl,John,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","looks too angry,-50,140,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","Kyle","Idk, it is just annoying,-32,180,20","Adam","too much color,-18,20,20","Alex","I like the blocks of color arrangements,30,40,20","4"
"32707","","survey-text","36","386296","0.0-34.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""looks and feels cold with nice blues.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6791.5","","image-slider-response","37","393091","0.0-35.0","ASVRLMDNQBUD9","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"4211","","image-button-response","38","398094","0.0-36.0","ASVRLMDNQBUD9","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3613","","image-button-response","39","401711","0.0-37.0","ASVRLMDNQBUD9","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3306","","image-button-response","40","405021","0.0-38.0-0.0","ASVRLMDNQBUD9","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"8687","","image-button-response","41","413711","0.0-39.0-0.0","ASVRLMDNQBUD9","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","414714","0.0-40.0","ASVRLMDNQBUD9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","14","looks and feels cold with nice blues.","Adam,Alex,Sam,Mike,Ron,Kyle","My daily routine, it's depressing,-20,20,20","calming blue is very nice,36,40,20","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Mike","enjoy the different shades of blue,22,200,20","Alex","calming blue is very nice,36,40,20","Sam","I can feel a rainy day from this painting,18,240,20","4"
"6230","","image-button-response_instructions","43","420951","0.0-41.0","ASVRLMDNQBUD9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21547","","survey-likert","44","442501","0.0-42.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"7213","","survey-text","45","449725","0.0-43.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"26166","","survey-text","46","475894","0.0-44.0-0.0","ASVRLMDNQBUD9","","","","{""Q0"":""looks like real sand with glass in it""}","","","","","","","","","","","","","","","","","","","","","","",""
