"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5806","external_page_harvard.html","external-html","0","5983","0.0-0.0","ATHDQYUL5JEH4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1664","","image-button-response","1","7652","0.0-1.0","ATHDQYUL5JEH4","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","","image-button-response","2","9652","0.0-2.0-0.0","ATHDQYUL5JEH4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5633","","survey-text","3","15288","0.0-3.0-0.0","ATHDQYUL5JEH4","","","","{""Q0"":""ATHDQYUL5JEH4""}","","","","","","","","","","","","","","","","","","","","","","",""
"11032","","image-button-response_instructions","4","26322","0.0-4.0","ATHDQYUL5JEH4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16752","","image-button-response_instructions","5","43076","0.0-5.0","ATHDQYUL5JEH4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6417","","image-button-response_instructions","6","49496","0.0-6.0","ATHDQYUL5JEH4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6983","","image-button-response_instructions","7","56482","0.0-7.0","ATHDQYUL5JEH4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23907","","image-button-response_instructions","8","80391","0.0-8.0","ATHDQYUL5JEH4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5620","","image-button-response_instructions","9","86014","0.0-9.0","ATHDQYUL5JEH4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
