"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"125372","external_page_harvard.html","external-html","0","125467","0.0-0.0","ATUA5M7PLS8W3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1699","","image-button-response","1","127176","0.0-1.0","ATUA5M7PLS8W3","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"8971","","image-button-response","2","136152","0.0-2.0-0.0","ATUA5M7PLS8W3","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5198","","survey-text","3","141352","0.0-3.0-0.0","ATUA5M7PLS8W3","","","","{""Q0"":""ATUA5M7PLS8W3""}","","","","","","","","","","","","","","","","","","","","","","",""
"26117","","image-button-response_instructions","4","167471","0.0-4.0","ATUA5M7PLS8W3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21799","","image-button-response_instructions","5","189272","0.0-5.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5616","","image-button-response_instructions","6","194889","0.0-6.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"93205","","image-button-response_instructions","7","288095","0.0-7.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16336","","image-button-response_instructions","8","304431","0.0-8.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4432","","image-button-response_instructions","9","308864","0.0-9.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4061","","image-button-response_instructions","10","312927","0.0-10.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2959","","image-button-response_instructions","11","315887","0.0-11.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5728","","image-button-response_instructions","12","321615","0.0-12.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10326","","image-button-response_instructions","13","331943","0.0-13.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21776","","image-button-response_instructions","14","353719","0.0-14.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7943","","image-button-response_instructions","15","361663","0.0-15.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9431","","image-button-response_instructions","16","371095","0.0-16.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5599","","image-button-response_instructions","17","376695","0.0-17.0","ATUA5M7PLS8W3","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2438","","image-button-response_instructions","18","379135","0.0-18.0","ATUA5M7PLS8W3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8877","","survey-text","19","388039","0.0-19.0-0.0","ATUA5M7PLS8W3","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"59760","","survey-text","20","447801","0.0-20.0-0.0","ATUA5M7PLS8W3","","","","{""Q0"":""I dont like it as much because I believe that the brown throws it off a bit.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9379.699999809265","","image-slider-response","21","457184","0.0-21.0","ATUA5M7PLS8W3","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","462189","0.0-22.0","ATUA5M7PLS8W3","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7242","","image-button-response","23","469433","0.0-23.0","ATUA5M7PLS8W3","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4316","","image-button-response","24","473751","0.0-24.0-0.0","ATUA5M7PLS8W3","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1918","","image-button-response","25","475672","0.0-25.0-0.0","ATUA5M7PLS8W3","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","477175","0.0-26.0","ATUA5M7PLS8W3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-22","I dont like it as much because I believe that the brown throws it off a bit.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","0"
