"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6542","external_page_harvard.html","external-html","0","6769","0.0-0.0","AU34T9OMHN4Z4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1338","","image-button-response","1","8109","0.0-1.0","AU34T9OMHN4Z4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2333","","image-button-response","2","10444","0.0-2.0-0.0","AU34T9OMHN4Z4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6175","","survey-text","3","16620","0.0-3.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""AU34T9OMHN4Z4""}","","","","","","","","","","","","","","","","","","","","","","",""
"4443","","image-button-response_instructions","4","21064","0.0-4.0","AU34T9OMHN4Z4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8053","","image-button-response_instructions","5","29118","0.0-5.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8491","","image-button-response_instructions","6","37610","0.0-6.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4474","","image-button-response_instructions","7","42084","0.0-7.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18809","","image-button-response_instructions","8","60894","0.0-8.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3803","","image-button-response_instructions","9","64697","0.0-9.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4189","","image-button-response_instructions","10","68887","0.0-10.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3637","","image-button-response_instructions","11","72526","0.0-11.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5176","","image-button-response_instructions","12","77702","0.0-12.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17606","","image-button-response_instructions","13","95310","0.0-13.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16775","","image-button-response_instructions","14","112086","0.0-14.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5769","","image-button-response_instructions","15","117856","0.0-15.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6799","","image-button-response_instructions","16","124655","0.0-16.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4783","","image-button-response_instructions","17","129439","0.0-17.0","AU34T9OMHN4Z4","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1965","","image-button-response_instructions","18","131405","0.0-18.0","AU34T9OMHN4Z4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4687","","survey-text","19","136109","0.0-19.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"27343","","survey-text","20","163453","0.0-20.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""Looks like a bunch of random colors with no direction.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5970.29999999702","","image-slider-response","21","169426","0.0-21.0","AU34T9OMHN4Z4","","","","","-37","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","174430","0.0-22.0","AU34T9OMHN4Z4","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1075","","image-button-response","23","175506","0.0-23.0","AU34T9OMHN4Z4","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2660","","image-button-response","24","178168","0.0-24.0-0.0","AU34T9OMHN4Z4","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"6264","","image-button-response","25","184434","0.0-25.0-0.0","AU34T9OMHN4Z4","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","185437","0.0-26.0","AU34T9OMHN4Z4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-37","Looks like a bunch of random colors with no direction.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"16828","","survey-text","27","202282","0.0-27.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""I don't understand what it is supposed to represent.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5503.19999999553","","image-slider-response","28","207786","0.0-28.0","AU34T9OMHN4Z4","","","","","-43","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","212788","0.0-29.0","AU34T9OMHN4Z4","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6003","","image-button-response","30","218794","0.0-30.0","AU34T9OMHN4Z4","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3144","","image-button-response","31","221940","0.0-31.0-0.0","AU34T9OMHN4Z4","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3424","","image-button-response","32","225366","0.0-32.0-0.0","AU34T9OMHN4Z4","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","226867","0.0-33.0","AU34T9OMHN4Z4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-43","I don't understand what it is supposed to represent.","Jenna,Ashley,Kara,Dora,Erika,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","I like the blocks of color arrangements,30,160,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","too much color!,-28,180,20","Ashley","Idk, it is just annoying,-32,40,20","Dora","looks too angry,-50,80,20","Katie","too much color!,-28,180,20","0"
"17551","","survey-text","34","244424","0.0-34.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""I like the colors here.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3312.7000000029802","","image-slider-response","35","247738","0.0-35.0","AU34T9OMHN4Z4","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","252739","0.0-36.0","AU34T9OMHN4Z4","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"845","","image-button-response","37","253586","0.0-37.0","AU34T9OMHN4Z4","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1394","","image-button-response","38","254980","0.0-38.0-0.0","AU34T9OMHN4Z4","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1001","","image-button-response","39","255983","0.0-39.0-0.0","AU34T9OMHN4Z4","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","256485","0.0-40.0","AU34T9OMHN4Z4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","24","I like the colors here.","Leslie,Ashley,Rose,Dora,Mary,Katie","It's an alright work,15,200,20","It looks like a playground for bats,-36,40,20","My daily routine, it's depressing,-20,240,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","It looks depressing,-26,180,20","Mary","I like the overlapping of brushes,41,220,20","Leslie","It's an alright work,15,200,20","Katie","It looks depressing,-26,180,20","0"
"5291","","image-button-response_instructions","41","261780","0.0-41.0","AU34T9OMHN4Z4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9478","","survey-likert","42","271258","0.0-42.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4829","","survey-text","43","276090","0.0-43.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"19340","","survey-text","44","295432","0.0-44.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""It doesn't look very cohesive""}","","","","","","","","","","","","","","","","","","","","","","",""
"2331.10000000149","","image-slider-response","45","297764","0.0-45.0","AU34T9OMHN4Z4","","","","","-26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","302782","0.0-46.0","AU34T9OMHN4Z4","img_art/21.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"14429","","image-button-response","47","317214","0.0-47.0","AU34T9OMHN4Z4","img_art/21.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3523","","image-button-response","48","320738","0.0-48.0-0.0","AU34T9OMHN4Z4","img_art/21.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","","image-button-response","49","322756","0.0-49.0-0.0","AU34T9OMHN4Z4","img_art/21.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","324259","0.0-50.0","AU34T9OMHN4Z4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/21.jpg","-26","It doesn't look very cohesive","Shannon,Catherine,Sierra,Rachel,Kaylee,Kaitlin","I like the sky a little bit the way the colors look for the sky, the cliff side looks a little weird though.,10,220,20","Nature, water, ever changing. Cold then warm. Reaction is mostly positive and some negative,30,160,20","i like the way the colors divide the canvas.,16,260,20","Looks like a body of water during a sunset. I like this piece.,21,80,20","looks like a sea during some war,27,200,20","waterpaint is attractive,13,60,20","Kaylee","looks like a sea during some war,27,200,20","Rachel","Looks like a body of water during a sunset. I like this piece.,21,80,20","Shannon","I like the sky a little bit the way the colors look for the sky, the cliff side looks a little weird though.,10,220,20","0"
"30208","","survey-text","51","354476","0.0-51.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""Too many colors ruin the entire picture for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"2353.2000000029802","","image-slider-response","52","356830","0.0-52.0","AU34T9OMHN4Z4","","","","","-38","","","","","","","","","","","","","","","","","","","","","",""
"3399","","image-button-response","53","361832","0.0-53.0","AU34T9OMHN4Z4","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","image-button-response","54","363388","0.0-54.0","AU34T9OMHN4Z4","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4416","","image-button-response","55","367806","0.0-55.0-0.0","AU34T9OMHN4Z4","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4861","","image-button-response","56","372668","0.0-56.0-0.0","AU34T9OMHN4Z4","img_art/9.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","373670","0.0-57.0","AU34T9OMHN4Z4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/9.jpg","-38","Too many colors ruin the entire picture for me","Shannon,Meghan,Autumn,Rachel,Kaylee,Mackenzie","This looks like someone sleeping in a bed, and I think the colors make it look interesting.,20,220,20","looks like someone resting,12,220,20","Abstract but not well made,-26,340,20","It looks like a lady taking a peaceful nap on a blanket in the grass.,41,80,20","not my type of art,-33,200,20","I enjoy the design, but the colors look waxy,-7,20,20","Kaylee","not my type of art,-33,200,20","Autumn","Abstract but not well made,-26,340,20","Mackenzie","I enjoy the design, but the colors look waxy,-7,20,20","0"
"38591","","survey-text","58","412270","0.0-58.0-0.0","AU34T9OMHN4Z4","","","","{""Q0"":""I can't tell what they are trying to do with the colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"2406.5","","image-slider-response","59","414678","0.0-59.0","AU34T9OMHN4Z4","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"1536","","image-button-response","60","419680","0.0-60.0","AU34T9OMHN4Z4","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3298","","image-button-response","61","422982","0.0-61.0","AU34T9OMHN4Z4","img_art/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1107","","image-button-response","62","424090","0.0-62.0-0.0","AU34T9OMHN4Z4","img_art/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2372","","image-button-response","63","426463","0.0-63.0-0.0","AU34T9OMHN4Z4","img_art/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
