"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17616","external_page_harvard.html","external-html","0","17683","0.0-0.0","AUZNL6ARA1UEC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1841","","image-button-response","1","19525","0.0-1.0","AUZNL6ARA1UEC","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2241","","image-button-response","2","21771","0.0-2.0-0.0","AUZNL6ARA1UEC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4944","","survey-text","3","26717","0.0-3.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""AUZNL6ARA1UEC""}","","","","","","","","","","","","","","","","","","","","","","",""
"6875","","image-button-response_instructions","4","33594","0.0-4.0","AUZNL6ARA1UEC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9993","","image-button-response_instructions","5","43589","0.0-5.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5342","","image-button-response_instructions","6","48933","0.0-6.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4633","","image-button-response_instructions","7","53571","0.0-7.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18781","","image-button-response_instructions","8","72355","0.0-8.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3253","","image-button-response_instructions","9","75611","0.0-9.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3037","","image-button-response_instructions","10","78651","0.0-10.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2800","","image-button-response_instructions","11","81454","0.0-11.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8428","","image-button-response_instructions","12","89884","0.0-12.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13976","","image-button-response_instructions","13","103863","0.0-13.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19092","","image-button-response_instructions","14","122957","0.0-14.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4847","","image-button-response_instructions","15","127807","0.0-15.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9350","","image-button-response_instructions","16","137159","0.0-16.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4725","","image-button-response_instructions","17","141886","0.0-17.0","AUZNL6ARA1UEC","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1750","","image-button-response_instructions","18","143639","0.0-18.0","AUZNL6ARA1UEC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7046","","survey-text","19","150711","0.0-19.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"32057","","survey-text","20","182772","0.0-20.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""It looks like a young child went wild with some crayons.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3945.2999992370605","","image-slider-response","21","186725","0.0-21.0","AUZNL6ARA1UEC","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","191732","0.0-22.0","AUZNL6ARA1UEC","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4092","","image-button-response","23","195827","0.0-23.0","AUZNL6ARA1UEC","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4769","","image-button-response","24","200599","0.0-24.0-0.0","AUZNL6ARA1UEC","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1894","","image-button-response","25","202500","0.0-25.0-0.0","AUZNL6ARA1UEC","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","203504","0.0-26.0","AUZNL6ARA1UEC","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-40","It looks like a young child went wild with some crayons.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","0"
"12237","","survey-text","27","215749","0.0-27.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""It's just an ugly mess.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3716.4000005722046","","image-slider-response","28","219470","0.0-28.0","AUZNL6ARA1UEC","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"3131","","image-button-response","29","224476","0.0-29.0","AUZNL6ARA1UEC","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3600","","image-button-response","30","228082","0.0-30.0","AUZNL6ARA1UEC","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","","image-button-response","31","229595","0.0-31.0-0.0","AUZNL6ARA1UEC","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","32","231117","0.0-32.0-0.0","AUZNL6ARA1UEC","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","231618","0.0-33.0","AUZNL6ARA1UEC","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-50","It's just an ugly mess.","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Kyle","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","Ben","meaningless painting,-45,60,20","0"
"29395","","survey-text","34","261023","0.0-34.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""I like the shades of blue, but this is just a mess.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7805.400000572205","","image-slider-response","35","268833","0.0-35.0","AUZNL6ARA1UEC","","","","","-43","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","273836","0.0-36.0","AUZNL6ARA1UEC","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7142","","image-button-response","37","280982","0.0-37.0","AUZNL6ARA1UEC","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6750","","image-button-response","38","287737","0.0-38.0-0.0","AUZNL6ARA1UEC","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5446","","image-button-response","39","293187","0.0-39.0-0.0","AUZNL6ARA1UEC","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","293690","0.0-40.0","AUZNL6ARA1UEC","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","-43","I like the shades of blue, but this is just a mess.","Sam,Mike,Ben,James,Ron,Kyle","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Sam","I can feel a rainy day from this painting,18,240,20","Ron","It looks depressing,-26,220,20","Mike","enjoy the different shades of blue,22,200,20","0"
"16680","","image-button-response_instructions","41","310381","0.0-41.0","AUZNL6ARA1UEC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9137","","survey-likert","42","319521","0.0-42.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5962","","survey-text","43","325488","0.0-43.0-0.0","AUZNL6ARA1UEC","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
