"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"30054","external_page_harvard.html","external-html","0","31634","0.0-0.0","AVFMTS8A5R4XK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3322","","image-button-response","1","34959","0.0-1.0","AVFMTS8A5R4XK","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2222","","image-button-response","2","37189","0.0-2.0-0.0","AVFMTS8A5R4XK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"20435","","survey-text","3","57627","0.0-3.0-0.0","AVFMTS8A5R4XK","","","","{""Q0"":""AVFMTS8A5R4XK""}","","","","","","","","","","","","","","","","","","","","","","",""
"20217","","image-button-response_instructions","4","77847","0.0-4.0","AVFMTS8A5R4XK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12066","","image-button-response_instructions","5","89915","0.0-5.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12748","","image-button-response_instructions","6","102665","0.0-6.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6074","","image-button-response_instructions","7","108741","0.0-7.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3634","","image-button-response_instructions","8","112377","0.0-8.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3842","","image-button-response_instructions","9","116221","0.0-9.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1961","","image-button-response_instructions","10","118183","0.0-10.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2438","","image-button-response_instructions","11","120622","0.0-11.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2424","","image-button-response_instructions","12","123048","0.0-12.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1535","","image-button-response_instructions","13","124584","0.0-13.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"51375","","image-button-response_instructions","14","175961","0.0-14.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2146","","image-button-response_instructions","15","178108","0.0-15.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1451","","image-button-response_instructions","16","179561","0.0-16.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2678","","image-button-response_instructions","17","182240","0.0-17.0","AVFMTS8A5R4XK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2831","","image-button-response_instructions","18","185073","0.0-18.0","AVFMTS8A5R4XK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9111","","survey-text","19","194220","0.0-19.0-0.0","AVFMTS8A5R4XK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15229","","survey-text","20","209452","0.0-20.0-0.0","AVFMTS8A5R4XK","","","","{""Q0"":""worst""}","","","","","","","","","","","","","","","","","","","","","","",""
"14473","","survey-text","21","229933","0.0-20.1-0.1","AVFMTS8A5R4XK","","","","{""Q0"":"" not clearly mentioned""}","","","","","","","","","","","","","","","","","","","","","","",""
"7369.100000143051","","image-slider-response","22","237305","0.0-21.0","AVFMTS8A5R4XK","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","23","242325","0.0-22.0","AVFMTS8A5R4XK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"138613","","image-button-response","24","380940","0.0-23.0","AVFMTS8A5R4XK","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3095","","image-button-response","25","384039","0.0-24.0-0.0","AVFMTS8A5R4XK","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8728","","image-button-response","26","392770","0.0-25.0-0.0","AVFMTS8A5R4XK","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","393273","0.0-26.0","AVFMTS8A5R4XK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-32"," not clearly mentioned","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Carl","very calming artwork,42,80,20","0"
"11794","","survey-text","28","405076","0.0-27.0-0.0","AVFMTS8A5R4XK","","","","{""Q0"":""looks clear""}","","","","","","","","","","","","","","","","","","","","","","",""
"8295.900000095367","","image-slider-response","29","413374","0.0-28.0","AVFMTS8A5R4XK","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"3027","","image-button-response","30","418378","0.0-29.0","AVFMTS8A5R4XK","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1671","","image-button-response","31","420052","0.0-30.0","AVFMTS8A5R4XK","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"892","","image-button-response","32","420947","0.0-31.0-0.0","AVFMTS8A5R4XK","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"834","","image-button-response","33","421784","0.0-32.0-0.0","AVFMTS8A5R4XK","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","422787","0.0-33.0","AVFMTS8A5R4XK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","22","looks clear","James,John,Kyle,Carl,Daniel,Jack","looks too angry,-50,140,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","James","looks too angry,-50,140,20","0"
"281124","","survey-text","35","703916","0.0-34.0-0.0","AVFMTS8A5R4XK","","","","{""Q0"":""SLIGHTLY CONFUSING""}","","","","","","","","","","","","","","","","","","","","","","",""
"6665.799999952316","","image-slider-response","36","710584","0.0-35.0","AVFMTS8A5R4XK","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","715588","0.0-36.0","AVFMTS8A5R4XK","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"116636","","image-button-response","38","832226","0.0-37.0","AVFMTS8A5R4XK","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1523","","image-button-response","39","833752","0.0-38.0-0.0","AVFMTS8A5R4XK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
