"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12754","external_page_harvard.html","external-html","0","12820","0.0-0.0","AWTBENF2BL2IQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2440","","image-button-response","1","15264","0.0-1.0","AWTBENF2BL2IQ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1740","","image-button-response","2","17012","0.0-2.0-0.0","AWTBENF2BL2IQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10131","","survey-text","3","27144","0.0-3.0-0.0","AWTBENF2BL2IQ","","","","{""Q0"":""AWTBENF2BL2IQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"42331","","image-button-response_instructions","4","69478","0.0-4.0","AWTBENF2BL2IQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7388","","image-button-response_instructions","5","76868","0.0-5.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4767","","image-button-response_instructions","6","81635","0.0-6.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4868","","image-button-response_instructions","7","86505","0.0-7.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9468","","image-button-response_instructions","8","95975","0.0-8.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6102","","image-button-response_instructions","9","102078","0.0-9.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3727","","image-button-response_instructions","10","105806","0.0-10.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2243","","image-button-response_instructions","11","108050","0.0-11.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5263","","image-button-response_instructions","12","113314","0.0-12.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12650","","image-button-response_instructions","13","125966","0.0-13.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7172","","image-button-response_instructions","14","133140","0.0-14.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3355","","image-button-response_instructions","15","136495","0.0-15.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11752","","image-button-response_instructions","16","148249","0.0-16.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4030","","image-button-response_instructions","17","152280","0.0-17.0","AWTBENF2BL2IQ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1541","","image-button-response_instructions","18","153822","0.0-18.0","AWTBENF2BL2IQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4582","","survey-text","19","158439","0.0-19.0-0.0","AWTBENF2BL2IQ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15446","","survey-text","20","173886","0.0-20.0-0.0","AWTBENF2BL2IQ","","","","{""Q0"":""It looks like anybody could create this.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3439","","image-slider-response","21","177328","0.0-21.0","AWTBENF2BL2IQ","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","182332","0.0-22.0","AWTBENF2BL2IQ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5380","","image-button-response","23","187714","0.0-23.0","AWTBENF2BL2IQ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2269","","image-button-response","24","189986","0.0-24.0-0.0","AWTBENF2BL2IQ","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3365","","image-button-response","25","193353","0.0-25.0-0.0","AWTBENF2BL2IQ","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","194857","0.0-26.0","AWTBENF2BL2IQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-22","It looks like anybody could create this.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","0"
"8680","","survey-text","27","203543","0.0-27.0-0.0","AWTBENF2BL2IQ","","","","{""Q0"":""It looks like something bad happened.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3327","","image-slider-response","28","206873","0.0-28.0","AWTBENF2BL2IQ","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","211875","0.0-29.0","AWTBENF2BL2IQ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6962","","image-button-response","30","218839","0.0-30.0","AWTBENF2BL2IQ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2726","","image-button-response","31","221566","0.0-31.0-0.0","AWTBENF2BL2IQ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1256","","image-button-response","32","222824","0.0-32.0-0.0","AWTBENF2BL2IQ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
