"","name","agent_response","agent_rating","photo","trial_gender"
"1","Aaron","The colors are nice but that's all it is",21,1,"male"
"2","Adam","Messy mix of primary colors.",-10,1,"male"
"3","Adrian","Not a fan of the colors. Makes me think of the Australian bush fires.",-5,1,"male"
"4","Alejandro","Interesting color scheme but to bled to me",11,1,"male"
"5","Alex","Random paint does not make art",-5,1,"male"
"6","Alexander","Flat colors with no flavor.",5,1,"male"
"7","Alexis","This photo reminds me of a fall afternoon, serene",11,1,"male"
"8","Andrew","Makes me think of a bad thunderstorm",11,1,"male"
"9","Angel","For some reason this makes me want to go ice skating. It's whimsical and free but also very smooth.",20,1,"male"
"10","Anthony","Bright and colorful without being overpowering",32,1,"male"
"11","Antonio","Felt nothing in response to this painting",3,1,"male"
"12","Austin","Absolutely love this painting",50,1,"male"
"13","Benjamin","Really like all of the colors and how they mesh well.",27,1,"male"
"14","Blake","colors that are fairly warm. its ok",8,1,"male"
"15","Bradley","This is a great piece that has a lot more going on the longer you look at it. I like it!",30,1,"male"
"16","Brandon","Taco Bell wallpaper. Doesn't really make me feel anything",3,1,"male"
"17","Brendan","a colorful piece of art",25,1,"male"
"18","Brett","I don't know how I feel about this",1,1,"male"
"19","Brian","I don't feel like much is happening in this painting",-25,1,"male"
"20","Bryan","Again, like the colors & abstractness.",29,1,"male"
"21","Bryce","Again kind a boring.",-38,1,"male"
"22","Caleb","Its simply okay.",3,1,"male"
"23","Cameron","It's okay, colors remind me of autumn.",10,1,"male"
"24","Carlos","Colors are pleasant, but feels incredibly generic.",9,1,"male"
"25","Charles","It's like being out on a psychedelic lake",32,1,"male"
"26","Chase","It's alright but lacks any depth.",-5,1,"male"
"27","Christian","bamboo boat in sunset",12,1,"male"
"28","Christopher","it's boring despite all the colors",-2,1,"male"
"29","Cody","Pretty, nice use of color",40,1,"male"
"30","Cole","I like the colors. But it doesnt look like anything",27,1,"male"
"31","Colton","the colors are nice",8,1,"male"
"32","Connor","Love the coloration and abstract figures",18,1,"male"
"33","Corey","basic reminds me of something a school would have on the wall",-7,1,"male"
"34","Dakota","soft and touchable, muddled",15,1,"male"
"35","Dalton","the colors are vibrant and beautiful",1,1,"male"
"36","Daniel","Nice colors with some 3D effects",15,1,"male"
"37","David","This image doesn't invoke much in me.",0,1,"male"
"38","Derek","The blend of colors are gorgeous and reminds me of fall",32,1,"male"
"39","Devin","Quite messy looking",-22,1,"male"
