"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10329","external_page_harvard.html","external-html","0","10443","0.0-0.0","A11FRLH5KWRLBV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1685","","image-button-response","1","12130","0.0-1.0","A11FRLH5KWRLBV","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1548","","image-button-response","2","13680","0.0-2.0-0.0","A11FRLH5KWRLBV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2998","","survey-text","3","16681","0.0-3.0-0.0","A11FRLH5KWRLBV","","","","{""Q0"":""A11FRLH5KWRLBV""}","","","","","","","","","","","","","","","","","","","","","","",""
"22894","","image-button-response_instructions","4","39577","0.0-4.0","A11FRLH5KWRLBV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15086","","image-button-response_instructions","5","54663","0.0-5.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3400","","image-button-response_instructions","6","58063","0.0-6.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2807","","image-button-response_instructions","7","60871","0.0-7.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5447","","image-button-response_instructions","8","66319","0.0-8.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5159","","image-button-response_instructions","9","71479","0.0-9.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3607","","image-button-response_instructions","10","75087","0.0-10.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3007","","image-button-response_instructions","11","78095","0.0-11.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6023","","image-button-response_instructions","12","84119","0.0-12.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12383","","image-button-response_instructions","13","96502","0.0-13.0","A11FRLH5KWRLBV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
