"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"136526","external_page_harvard.html","external-html","0","136581","0.0-0.0","A13CXQGLSH6QY8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3026","","image-button-response","1","139622","0.0-1.0","A13CXQGLSH6QY8","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5774","","image-button-response","2","145412","0.0-2.0-0.0","A13CXQGLSH6QY8","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3764","","survey-text","3","149176","0.0-3.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""A13CXQGLSH6QY8""}","","","","","","","","","","","","","","","","","","","","","","",""
"30175","","image-button-response_instructions","4","179351","0.0-4.0","A13CXQGLSH6QY8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35069","","image-button-response_instructions","5","214422","0.0-5.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13052","","image-button-response_instructions","6","227474","0.0-6.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19083","","image-button-response_instructions","7","246573","0.0-7.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"140962","","image-button-response_instructions","8","387550","0.0-8.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13951","","image-button-response_instructions","9","401501","0.0-9.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8734","","image-button-response_instructions","10","410235","0.0-10.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7733","","image-button-response_instructions","11","417983","0.0-11.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13758","","image-button-response_instructions","12","431741","0.0-12.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17973","","image-button-response_instructions","13","449714","0.0-13.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16368","","image-button-response_instructions","14","466082","0.0-14.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10531","","image-button-response_instructions","15","476613","0.0-15.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12010","","image-button-response_instructions","16","488623","0.0-16.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7624","","image-button-response_instructions","17","496247","0.0-17.0","A13CXQGLSH6QY8","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2598","","image-button-response_instructions","18","498845","0.0-18.0","A13CXQGLSH6QY8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19864","","survey-text","19","518760","0.0-19.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"4671","","survey-text","20","528501","0.0-19.1-0.1","A13CXQGLSH6QY8","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25235","","survey-text","21","553736","0.0-20.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""The colors are pretty.""}","","","","","","","","","","","","","","","","","","","","","","",""
"15657","","image-slider-response","22","569393","0.0-21.0","A13CXQGLSH6QY8","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","23","574393","0.0-22.0","A13CXQGLSH6QY8","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15761","","image-button-response","24","590156","0.0-23.0","A13CXQGLSH6QY8","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8635","","image-button-response","25","598807","0.0-24.0-0.0","A13CXQGLSH6QY8","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"7697","","image-button-response","26","606504","0.0-25.0-0.0","A13CXQGLSH6QY8","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","608004","0.0-26.0","A13CXQGLSH6QY8","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","3","The colors are pretty.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Allison","looks like a lot of things going on in the mist,20,20,20","1"
"25468","","survey-text","28","633477","0.0-27.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""My Grandson paints like this""}","","","","","","","","","","","","","","","","","","","","","","",""
"6747","","image-slider-response","29","640224","0.0-28.0","A13CXQGLSH6QY8","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","645224","0.0-29.0","A13CXQGLSH6QY8","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4611","","image-button-response","31","649837","0.0-30.0","A13CXQGLSH6QY8","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9317","","image-button-response","32","659154","0.0-31.0-0.0","A13CXQGLSH6QY8","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5869","","image-button-response","33","665023","0.0-32.0-0.0","A13CXQGLSH6QY8","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","666523","0.0-33.0","A13CXQGLSH6QY8","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","7","My Grandson paints like this","Allison,Katie,Beth,Jenna,Kara,Jen","I don't have strong feelings about this,10,20,20","too much color!,-28,180,20","meaningless painting,-45,60,20","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Katie","too much color!,-28,180,20","1"
"20877","","survey-text","35","687405","0.0-34.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""Looks like a blue rainstorm""}","","","","","","","","","","","","","","","","","","","","","","",""
"3848","","image-slider-response","36","691253","0.0-35.0","A13CXQGLSH6QY8","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","696253","0.0-36.0","A13CXQGLSH6QY8","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1169","","image-button-response","38","697424","0.0-37.0","A13CXQGLSH6QY8","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6898","","image-button-response","39","704322","0.0-38.0-0.0","A13CXQGLSH6QY8","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"7782","","image-button-response","40","712120","0.0-39.0-0.0","A13CXQGLSH6QY8","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","712630","0.0-40.0","A13CXQGLSH6QY8","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","18","Looks like a blue rainstorm","Rose,Katie,Mary,Leslie,Kara,Jen","My daily routine, it's depressing,-20,240,20","It looks depressing,-26,180,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","calming blue is very nice,36,160,20","I can feel a rainy day from this painting,18,120,20","Jen","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Kara","calming blue is very nice,36,160,20","1"
"5574","","image-button-response_instructions","42","718204","0.0-41.0","A13CXQGLSH6QY8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23525","","survey-likert","43","741729","0.0-42.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":"""",""Q1"":1,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"11190","","survey-likert","44","755172","0.0-42.1-0.1","A13CXQGLSH6QY8","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"6445","","survey-text","45","761617","0.0-43.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"23450","","survey-text","46","785067","0.0-44.0-0.0","A13CXQGLSH6QY8","","","","{""Q0"":""looks kind of weird to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"4300","","image-slider-response","47","789366","0.0-45.0","A13CXQGLSH6QY8","","","","","-24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","48","794439","0.0-46.0","A13CXQGLSH6QY8","img_art/12.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3426","","image-button-response","49","797865","0.0-47.0","A13CXQGLSH6QY8","img_art/12.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"14465","","image-button-response","50","812330","0.0-48.0-0.0","A13CXQGLSH6QY8","img_art/12.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
