"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5356","external_page_harvard.html","external-html","0","5559","0.0-0.0","A13OHDWN9XSCIG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","image-button-response","1","7078","0.0-1.0","A13OHDWN9XSCIG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1811","","image-button-response","2","8893","0.0-2.0-0.0","A13OHDWN9XSCIG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2504","","survey-text","3","11398","0.0-3.0-0.0","A13OHDWN9XSCIG","","","","{""Q0"":""A13OHDWN9XSCIG""}","","","","","","","","","","","","","","","","","","","","","","",""
"5824","","image-button-response_instructions","4","17223","0.0-4.0","A13OHDWN9XSCIG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14191","","image-button-response_instructions","5","31416","0.0-5.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6175","","image-button-response_instructions","6","37592","0.0-6.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5065","","image-button-response_instructions","7","42658","0.0-7.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8647","","image-button-response_instructions","8","51307","0.0-8.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3544","","image-button-response_instructions","9","54852","0.0-9.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3616","","image-button-response_instructions","10","58469","0.0-10.0","A13OHDWN9XSCIG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
