"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4631","external_page_harvard.html","external-html","0","4752","0.0-0.0","A15B9VEG75OAPW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1646","","image-button-response","1","6399","0.0-1.0","A15B9VEG75OAPW","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1164","","image-button-response","2","7567","0.0-2.0-0.0","A15B9VEG75OAPW","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5287","","survey-text","3","12855","0.0-3.0-0.0","A15B9VEG75OAPW","","","","{""Q0"":""A15B9VEG75OAPW""}","","","","","","","","","","","","","","","","","","","","","","",""
"7783","","image-button-response_instructions","4","20639","0.0-4.0","A15B9VEG75OAPW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8678","","image-button-response_instructions","5","29319","0.0-5.0","A15B9VEG75OAPW","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2575","","image-button-response_instructions","6","31895","0.0-6.0","A15B9VEG75OAPW","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5015","","image-button-response_instructions","7","36911","0.0-7.0","A15B9VEG75OAPW","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4727","","image-button-response_instructions","8","41639","0.0-8.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1335","","image-button-response_instructions","9","42975","0.0-9.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2063","","image-button-response_instructions","10","45038","0.0-10.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2855","","image-button-response_instructions","11","47895","0.0-11.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4295","","image-button-response_instructions","12","52191","0.0-12.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7519","","image-button-response_instructions","13","59711","0.0-13.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5551","","image-button-response_instructions","14","65263","0.0-14.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1759","","image-button-response_instructions","15","67023","0.0-15.0","A15B9VEG75OAPW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6527","","image-button-response_instructions","16","73551","0.0-16.0","A15B9VEG75OAPW","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3287","","image-button-response_instructions","17","76839","0.0-17.0","A15B9VEG75OAPW","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1223","","image-button-response_instructions","18","78063","0.0-18.0","A15B9VEG75OAPW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4617","","survey-text","19","82696","0.0-19.0-0.0","A15B9VEG75OAPW","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11902","","survey-text","20","94600","0.0-20.0-0.0","A15B9VEG75OAPW","","","","{""Q0"":""Calm but chaotic ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5277.5","","image-slider-response","21","99879","0.0-21.0","A15B9VEG75OAPW","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"4846","","image-button-response","22","104882","0.0-22.0","A15B9VEG75OAPW","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1859","","image-button-response","23","106743","0.0-23.0","A15B9VEG75OAPW","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3319","","image-button-response","24","110063","0.0-24.0-0.0","A15B9VEG75OAPW","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"894","","image-button-response","25","110958","0.0-25.0-0.0","A15B9VEG75OAPW","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","112460","0.0-26.0","A15B9VEG75OAPW","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","17","Calm but chaotic ","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","0"
"8144","","survey-text","27","120607","0.0-27.0-0.0","A15B9VEG75OAPW","","","","{""Q0"":""nice colors, very bold ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2765.7000000476837","","image-slider-response","28","123374","0.0-28.0","A15B9VEG75OAPW","","","","","33","","","","","","","","","","","","","","","","","","","","","",""
"4071","","image-button-response","29","128377","0.0-29.0","A15B9VEG75OAPW","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3052","","image-button-response","30","131431","0.0-30.0","A15B9VEG75OAPW","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4375","","image-button-response","31","135807","0.0-31.0-0.0","A15B9VEG75OAPW","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"542","","image-button-response","32","136350","0.0-32.0-0.0","A15B9VEG75OAPW","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","137352","0.0-33.0","A15B9VEG75OAPW","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","33","nice colors, very bold ","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Alex","I like the blocks of color arrangements,30,40,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"12630","","survey-text","34","149983","0.0-34.0-0.0","A15B9VEG75OAPW","","","","{""Q0"":""very chilling, abstract but emotional""}","","","","","","","","","","","","","","","","","","","","","","",""
"3805.7999999523163","","image-slider-response","35","153790","0.0-35.0","A15B9VEG75OAPW","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"2863","","image-button-response","36","158792","0.0-36.0","A15B9VEG75OAPW","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1589","","image-button-response","37","160382","0.0-37.0","A15B9VEG75OAPW","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2072","","image-button-response","38","162455","0.0-38.0-0.0","A15B9VEG75OAPW","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1239","","image-button-response","39","163695","0.0-39.0-0.0","A15B9VEG75OAPW","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
