"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7955","external_page_harvard.html","external-html","0","8450","0.0-0.0","A16A6ZCW538FVS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2215","","image-button-response","1","10669","0.0-1.0","A16A6ZCW538FVS","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1808","","image-button-response","2","12497","0.0-2.0-0.0","A16A6ZCW538FVS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5326","","survey-text","3","17831","0.0-3.0-0.0","A16A6ZCW538FVS","","","","{""Q0"":""A16A6ZCW538FVS""}","","","","","","","","","","","","","","","","","","","","","","",""
"5508","","image-button-response_instructions","4","23344","0.0-4.0","A16A6ZCW538FVS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11081","","image-button-response_instructions","5","34437","0.0-5.0","A16A6ZCW538FVS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4828","","image-button-response_instructions","6","39272","0.0-6.0","A16A6ZCW538FVS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2558","","image-button-response_instructions","7","41841","0.0-7.0","A16A6ZCW538FVS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7280","","image-button-response_instructions","8","49129","0.0-8.0","A16A6ZCW538FVS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3260","","image-button-response_instructions","9","52392","0.0-9.0","A16A6ZCW538FVS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2237","","image-button-response_instructions","10","54650","0.0-10.0","A16A6ZCW538FVS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
