"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4938","external_page_harvard.html","external-html","0","5082","0.0-0.0","A16K7X677N4WN6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1310","","image-button-response","1","6394","0.0-1.0","A16K7X677N4WN6","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3215","","image-button-response","2","9626","0.0-2.0-0.0","A16K7X677N4WN6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7798","","survey-text","3","17431","0.0-3.0-0.0","A16K7X677N4WN6","","","","{""Q0"":""A16K7X677N4WN6""}","","","","","","","","","","","","","","","","","","","","","","",""
"6950","","image-button-response_instructions","4","24388","0.0-4.0","A16K7X677N4WN6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9344","","image-button-response_instructions","5","33738","0.0-5.0","A16K7X677N4WN6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4942","","image-button-response_instructions","6","38684","0.0-6.0","A16K7X677N4WN6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5352","","image-button-response_instructions","7","44042","0.0-7.0","A16K7X677N4WN6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"59011","","image-button-response_instructions","8","103055","0.0-8.0","A16K7X677N4WN6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5655","","image-button-response_instructions","9","108716","0.0-9.0","A16K7X677N4WN6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7286","","image-button-response_instructions","10","116006","0.0-10.0","A16K7X677N4WN6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3953","","image-button-response_instructions","11","119967","0.0-11.0","A16K7X677N4WN6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4640","","image-button-response_instructions","12","124614","0.0-12.0","A16K7X677N4WN6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9975","","image-button-response_instructions","13","134593","0.0-13.0","A16K7X677N4WN6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11296","","image-button-response_instructions","14","145893","0.0-14.0","A16K7X677N4WN6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
