"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13448","external_page_harvard.html","external-html","0","13588","0.0-0.0","A19H6QRCGKBOUH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","","image-button-response","1","15425","0.0-1.0","A19H6QRCGKBOUH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2592","","image-button-response","2","18038","0.0-2.0-0.0","A19H6QRCGKBOUH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12670","","survey-text","3","30716","0.0-3.0-0.0","A19H6QRCGKBOUH","","","","{""Q0"":""A19H6QRCGKBOUH""}","","","","","","","","","","","","","","","","","","","","","","",""
"9943","","image-button-response_instructions","4","40663","0.0-4.0","A19H6QRCGKBOUH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22971","","image-button-response_instructions","5","63637","0.0-5.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7150","","image-button-response_instructions","6","70790","0.0-6.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9623","","image-button-response_instructions","7","80418","0.0-7.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11715","","image-button-response_instructions","8","92138","0.0-8.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3834","","image-button-response_instructions","9","95976","0.0-9.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6379","","image-button-response_instructions","10","102360","0.0-10.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4601","","image-button-response_instructions","11","106966","0.0-11.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4198","","image-button-response_instructions","12","111169","0.0-12.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4313","","image-button-response_instructions","13","115489","0.0-13.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2347","","image-button-response_instructions","14","117844","0.0-14.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3718","","image-button-response_instructions","15","121569","0.0-15.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7319","","image-button-response_instructions","16","128891","0.0-16.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3613","","image-button-response_instructions","17","132509","0.0-17.0","A19H6QRCGKBOUH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1723","","image-button-response_instructions","18","134237","0.0-18.0","A19H6QRCGKBOUH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4838","","survey-text","19","139119","0.0-19.0-0.0","A19H6QRCGKBOUH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12234","","survey-text","20","151361","0.0-20.0-0.0","A19H6QRCGKBOUH","","","","{""Q0"":""what the heck is this supposed to be?""}","","","","","","","","","","","","","","","","","","","","","","",""
"6050.899999976158","","image-slider-response","21","157418","0.0-21.0","A19H6QRCGKBOUH","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
