"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10529","external_page_harvard.html","external-html","0","10581","0.0-0.0","A1A0F0BAX3CDTF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1781","","image-button-response","1","12374","0.0-1.0","A1A0F0BAX3CDTF","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2177","","image-button-response","2","14554","0.0-2.0-0.0","A1A0F0BAX3CDTF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5268","","survey-text","3","19834","0.0-3.0-0.0","A1A0F0BAX3CDTF","","","","{""Q0"":""A1A0F0BAX3CDTF""}","","","","","","","","","","","","","","","","","","","","","","",""
"3995","","image-button-response_instructions","4","23831","0.0-4.0","A1A0F0BAX3CDTF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10028","","image-button-response_instructions","5","33875","0.0-5.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2578","","image-button-response_instructions","6","36456","0.0-6.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1662","","image-button-response_instructions","7","38119","0.0-7.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3894","","image-button-response_instructions","8","42014","0.0-8.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3555","","image-button-response_instructions","9","45584","0.0-9.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3199","","image-button-response_instructions","10","48784","0.0-10.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4678","","image-button-response_instructions","11","53464","0.0-11.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2740","","image-button-response_instructions","12","56205","0.0-12.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1388","","image-button-response_instructions","13","57594","0.0-13.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7627","","image-button-response_instructions","14","65223","0.0-14.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","","image-button-response_instructions","15","69253","0.0-15.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34970","","image-button-response_instructions","16","104224","0.0-16.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2137","","image-button-response_instructions","17","106361","0.0-17.0","A1A0F0BAX3CDTF","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1521","","image-button-response_instructions","18","107883","0.0-18.0","A1A0F0BAX3CDTF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7325","","survey-text","19","115234","0.0-19.0-0.0","A1A0F0BAX3CDTF","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9468","","survey-text","20","124705","0.0-20.0-0.0","A1A0F0BAX3CDTF","","","","{""Q0"":""It was colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
"3891","","image-slider-response","21","128603","0.0-21.0","A1A0F0BAX3CDTF","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","133619","0.0-22.0","A1A0F0BAX3CDTF","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3333","","image-button-response","23","136954","0.0-23.0","A1A0F0BAX3CDTF","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4239","","image-button-response","24","141197","0.0-24.0-0.0","A1A0F0BAX3CDTF","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"904","","image-button-response","25","142104","0.0-25.0-0.0","A1A0F0BAX3CDTF","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","143606","0.0-26.0","A1A0F0BAX3CDTF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","16","It was colorful","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"13253","","survey-text","27","156864","0.0-27.0-0.0","A1A0F0BAX3CDTF","","","","{""Q0"":""there were many rockers""}","","","","","","","","","","","","","","","","","","","","","","",""
"4795","","image-slider-response","28","161664","0.0-28.0","A1A0F0BAX3CDTF","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"4091","","image-button-response","29","166667","0.0-29.0","A1A0F0BAX3CDTF","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
