"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16504","external_page_harvard.html","external-html","0","16549","0.0-0.0","A1ACXKVOUQ19DX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2889","","image-button-response","1","19440","0.0-1.0","A1ACXKVOUQ19DX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1566","","image-button-response","2","21010","0.0-2.0-0.0","A1ACXKVOUQ19DX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5557","","survey-text","3","26568","0.0-3.0-0.0","A1ACXKVOUQ19DX","","","","{""Q0"":""A1ACXKVOUQ19DX""}","","","","","","","","","","","","","","","","","","","","","","",""
"3942","","image-button-response_instructions","4","30512","0.0-4.0","A1ACXKVOUQ19DX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19161","","image-button-response_instructions","5","49674","0.0-5.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5387","","image-button-response_instructions","6","55062","0.0-6.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6198","","image-button-response_instructions","7","61260","0.0-7.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3380","","image-button-response_instructions","8","64641","0.0-8.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3334","","image-button-response_instructions","9","67976","0.0-9.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1210","","image-button-response_instructions","10","69188","0.0-10.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"837","","image-button-response_instructions","11","70025","0.0-11.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1280","","image-button-response_instructions","12","71308","0.0-12.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2391","","image-button-response_instructions","13","73699","0.0-13.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4228","","image-button-response_instructions","14","77928","0.0-14.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1866","","image-button-response_instructions","15","79796","0.0-15.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3401","","image-button-response_instructions","16","83198","0.0-16.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2065","","image-button-response_instructions","17","85264","0.0-17.0","A1ACXKVOUQ19DX","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1147","","image-button-response_instructions","18","86412","0.0-18.0","A1ACXKVOUQ19DX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4477","","survey-text","19","90904","0.0-19.0-0.0","A1ACXKVOUQ19DX","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"4469","","survey-text","20","95374","0.0-20.0-0.0","A1ACXKVOUQ19DX","","","","{""Q0"":""colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
