"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6445","external_page_harvard.html","external-html","0","6528","0.0-0.0","A1AD0XP7UTCMY2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1063","","image-button-response","1","7592","0.0-1.0","A1AD0XP7UTCMY2","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1017","","image-button-response","2","8613","0.0-2.0-0.0","A1AD0XP7UTCMY2","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5704","","survey-text","3","14318","0.0-3.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""A1AD0XP7UTCMY2""}","","","","","","","","","","","","","","","","","","","","","","",""
"10000","","image-button-response_instructions","4","24320","0.0-4.0","A1AD0XP7UTCMY2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24963","","image-button-response_instructions","5","49285","0.0-5.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8778","","image-button-response_instructions","6","58063","0.0-6.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5172","","image-button-response_instructions","7","63237","0.0-7.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24314","","image-button-response_instructions","8","87553","0.0-8.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3838","","image-button-response_instructions","9","91393","0.0-9.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2280","","image-button-response_instructions","10","93675","0.0-10.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2803","","image-button-response_instructions","11","96479","0.0-11.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4554","","image-button-response_instructions","12","101035","0.0-12.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27764","","image-button-response_instructions","13","128801","0.0-13.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"106111","","image-button-response_instructions","14","234912","0.0-14.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8683","","image-button-response_instructions","15","243596","0.0-15.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14283","","image-button-response_instructions","16","257880","0.0-16.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10221","","image-button-response_instructions","17","268102","0.0-17.0","A1AD0XP7UTCMY2","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1959","","image-button-response_instructions","18","270062","0.0-18.0","A1AD0XP7UTCMY2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11455","","survey-text","19","281534","0.0-19.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"46224","","survey-text","20","327760","0.0-20.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""I am not a big fan of the yellow being used, it just doesnt work""}","","","","","","","","","","","","","","","","","","","","","","",""
"3902.4000000059605","","image-slider-response","21","331665","0.0-21.0","A1AD0XP7UTCMY2","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","336671","0.0-22.0","A1AD0XP7UTCMY2","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8389","","image-button-response","23","345063","0.0-23.0","A1AD0XP7UTCMY2","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4279","","image-button-response","24","349345","0.0-24.0-0.0","A1AD0XP7UTCMY2","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6535","","image-button-response","25","355883","0.0-25.0-0.0","A1AD0XP7UTCMY2","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","356386","0.0-26.0","A1AD0XP7UTCMY2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-22","I am not a big fan of the yellow being used, it just doesnt work","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","0"
"43105","","survey-text","27","399499","0.0-27.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""This art piece seems to obscure for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"3568.199999988079","","image-slider-response","28","403069","0.0-28.0","A1AD0XP7UTCMY2","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"4042","","image-button-response","29","408072","0.0-29.0","A1AD0XP7UTCMY2","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"680","","image-button-response","30","408755","0.0-30.0","A1AD0XP7UTCMY2","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"8530","","image-button-response","31","417287","0.0-31.0-0.0","A1AD0XP7UTCMY2","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"7345","","image-button-response","32","424635","0.0-32.0-0.0","A1AD0XP7UTCMY2","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","426138","0.0-33.0","A1AD0XP7UTCMY2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-42","This art piece seems to obscure for me","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","Ben","meaningless painting,-45,60,20","Kyle","Idk, it is just annoying,-32,180,20","0"
"9420","","survey-text","34","435564","0.0-34.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""seems to cold""}","","","","","","","","","","","","","","","","","","","","","","",""
"3068.0999999940395","","image-slider-response","35","438635","0.0-35.0","A1AD0XP7UTCMY2","","","","","-35","","","","","","","","","","","","","","","","","","","","","",""
"4988","","image-button-response","36","443638","0.0-36.0","A1AD0XP7UTCMY2","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"950","","image-button-response","37","444588","0.0-37.0","A1AD0XP7UTCMY2","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"605","","image-button-response","38","445194","0.0-38.0-0.0","A1AD0XP7UTCMY2","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3762","","image-button-response","39","448959","0.0-39.0-0.0","A1AD0XP7UTCMY2","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","449975","0.0-40.0","A1AD0XP7UTCMY2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","-35","seems to cold","Sam,Mike,Ben,James,Ron,Kyle","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Ron","It looks depressing,-26,220,20","James","My worst nightmare,-42,140,20","Kyle","It looks like a playground for bats,-36,180,20","0"
"7865","","image-button-response_instructions","41","457846","0.0-41.0","A1AD0XP7UTCMY2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21847","","survey-likert","42","479695","0.0-42.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4626","","survey-text","43","484326","0.0-43.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"27349","","survey-text","44","511677","0.0-44.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""seems like someone painted above the image""}","","","","","","","","","","","","","","","","","","","","","","",""
"4972.100000008941","","image-slider-response","45","516651","0.0-45.0","A1AD0XP7UTCMY2","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"3853","","image-button-response","46","521672","0.0-46.0","A1AD0XP7UTCMY2","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"538","","image-button-response","47","522213","0.0-47.0","A1AD0XP7UTCMY2","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4435","","image-button-response","48","526651","0.0-48.0-0.0","A1AD0XP7UTCMY2","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2057","","image-button-response","49","528711","0.0-49.0-0.0","A1AD0XP7UTCMY2","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5171","","image-button-response","50","539203","0.0-49.1-0.1","A1AD0XP7UTCMY2","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","540205","0.0-50.0","A1AD0XP7UTCMY2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/27.jpg","-29","seems like someone painted above the image","Aaron,Stephen,Paul,Jacob,Hunter,Jesus","It looks like when my little sister took magic markers to the wall.,-11,20,20","This one does nothing for me.,2,140,20","It tries to remind me of the autumn season but it's grey and looks dirty,-5,300,20","Don't get the point of this piece that much, but it doesn't bug me,1,340,20","reminds me of kandinsky,10,240,20","The color palette isn't my taste,-24,100,20","Aaron","It looks like when my little sister took magic markers to the wall.,-11,20,20","Stephen","This one does nothing for me.,2,140,20","Paul","It tries to remind me of the autumn season but it's grey and looks dirty,-5,300,20","2"
"18547","","survey-text","52","558756","0.0-51.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""seems like a kid painted it""}","","","","","","","","","","","","","","","","","","","","","","",""
"41908.19999998808","","image-slider-response","53","600666","0.0-52.0","A1AD0XP7UTCMY2","","","","","-17","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","605681","0.0-53.0","A1AD0XP7UTCMY2","img_art/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2041","","image-button-response","55","607725","0.0-54.0","A1AD0XP7UTCMY2","img_art/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"734","","image-button-response","56","608461","0.0-55.0-0.0","A1AD0XP7UTCMY2","img_art/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"5202","","image-button-response","57","613665","0.0-56.0-0.0","A1AD0XP7UTCMY2","img_art/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","614167","0.0-57.0","A1AD0XP7UTCMY2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/2.jpg","-17","seems like a kid painted it","Aaron,Stephen,Paul,Brandon,Anthony,David","The colors are pretty but I don't really like the shapes in it.,-20,20,20","Colors mix nicely.,5,140,20","I like the blue color in the center but that's it, the green is a gross color,-3,300,20","Do not like this type of abstract work,-50,320,20","Ugly color scheme,-50,200,20","I feel that its too abstract for me to understand what I'm looking at.,-15,340,20","Anthony","Ugly color scheme,-50,200,20","Brandon","Do not like this type of abstract work,-50,320,20","David","I feel that its too abstract for me to understand what I'm looking at.,-15,340,20","2"
"15817","","survey-text","59","629990","0.0-58.0-0.0","A1AD0XP7UTCMY2","","","","{""Q0"":""reminds me of the desert""}","","","","","","","","","","","","","","","","","","","","","","",""
"9070.70000000298","","image-slider-response","60","639063","0.0-59.0","A1AD0XP7UTCMY2","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"4300","","image-button-response","61","644066","0.0-60.0","A1AD0XP7UTCMY2","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1586","","image-button-response","62","645655","0.0-61.0","A1AD0XP7UTCMY2","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"5438","","image-button-response","63","651095","0.0-62.0-0.0","A1AD0XP7UTCMY2","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5250","","image-button-response","64","656346","0.0-63.0-0.0","A1AD0XP7UTCMY2","img_art/6.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
