"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11326","external_page_harvard.html","external-html","0","11496","0.0-0.0","A1BIJGB7XA0GME","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3038","","image-button-response","1","14539","0.0-1.0","A1BIJGB7XA0GME","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2783","","image-button-response","2","17340","0.0-2.0-0.0","A1BIJGB7XA0GME","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4852","","survey-text","3","22194","0.0-3.0-0.0","A1BIJGB7XA0GME","","","","{""Q0"":""A1BIJGB7XA0GME""}","","","","","","","","","","","","","","","","","","","","","","",""
"13501","","image-button-response_instructions","4","35700","0.0-4.0","A1BIJGB7XA0GME","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25469","","image-button-response_instructions","5","61172","0.0-5.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9651","","image-button-response_instructions","6","70826","0.0-6.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11707","","image-button-response_instructions","7","82535","0.0-7.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"41628","","image-button-response_instructions","8","124166","0.0-8.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5948","","image-button-response_instructions","9","130116","0.0-9.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4177","","image-button-response_instructions","10","134296","0.0-10.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3799","","image-button-response_instructions","11","138098","0.0-11.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6375","","image-button-response_instructions","12","144476","0.0-12.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14204","","image-button-response_instructions","13","158684","0.0-13.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12322","","image-button-response_instructions","14","171008","0.0-14.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7196","","image-button-response_instructions","15","178207","0.0-15.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10832","","image-button-response_instructions","16","189041","0.0-16.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12399","","image-button-response_instructions","17","201442","0.0-17.0","A1BIJGB7XA0GME","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3081","","image-button-response_instructions","18","204526","0.0-18.0","A1BIJGB7XA0GME","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10951","","survey-text","19","215547","0.0-19.0-0.0","A1BIJGB7XA0GME","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"42708","","survey-text","20","258259","0.0-20.0-0.0","A1BIJGB7XA0GME","","","","{""Q0"":""This reminds me of Neapolitan melted ice cream ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5041.399999976158","","image-slider-response","21","263307","0.0-21.0","A1BIJGB7XA0GME","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","268333","0.0-22.0","A1BIJGB7XA0GME","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5307","","image-button-response","23","273646","0.0-23.0","A1BIJGB7XA0GME","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5946","","image-button-response","24","279597","0.0-24.0-0.0","A1BIJGB7XA0GME","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3862","","image-button-response","25","283466","0.0-25.0-0.0","A1BIJGB7XA0GME","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","284971","0.0-26.0","A1BIJGB7XA0GME","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-22","This reminds me of Neapolitan melted ice cream ","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"37118","","survey-text","27","322103","0.0-27.0-0.0","A1BIJGB7XA0GME","","","","{""Q0"":""Looks like a bunch of squares of different sizes""}","","","","","","","","","","","","","","","","","","","","","","",""
