"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6421","external_page_harvard.html","external-html","0","6759","0.0-0.0","A1CSWN23S8BHQY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1931","","image-button-response","1","8690","0.0-1.0","A1CSWN23S8BHQY","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1603","","image-button-response","2","10293","0.0-2.0-0.0","A1CSWN23S8BHQY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8983","","survey-text","3","19276","0.0-3.0-0.0","A1CSWN23S8BHQY","","","","{""Q0"":""A1CSWN23S8BHQY""}","","","","","","","","","","","","","","","","","","","","","","",""
"4299","","image-button-response_instructions","4","23575","0.0-4.0","A1CSWN23S8BHQY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12614","","image-button-response_instructions","5","36189","0.0-5.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4187","","image-button-response_instructions","6","40376","0.0-6.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2369","","image-button-response_instructions","7","42745","0.0-7.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10574","","image-button-response_instructions","8","53319","0.0-8.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3900","","image-button-response_instructions","9","57219","0.0-9.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1333","","image-button-response_instructions","10","58552","0.0-10.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"904","","image-button-response_instructions","11","59456","0.0-11.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1749","","image-button-response_instructions","12","61205","0.0-12.0","A1CSWN23S8BHQY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
