"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18049","external_page_harvard.html","external-html","0","18215","0.0-0.0","A1DKS1KI6S93HF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1744","","image-button-response","1","19961","0.0-1.0","A1DKS1KI6S93HF","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4133","","image-button-response","2","24100","0.0-2.0-0.0","A1DKS1KI6S93HF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9609","","survey-text","3","33712","0.0-3.0-0.0","A1DKS1KI6S93HF","","","","{""Q0"":""A1DKS1KI6S93HF""}","","","","","","","","","","","","","","","","","","","","","","",""
"10693","","image-button-response_instructions","4","44408","0.0-4.0","A1DKS1KI6S93HF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25254","","image-button-response_instructions","5","69664","0.0-5.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9887","","image-button-response_instructions","6","79552","0.0-6.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13087","","image-button-response_instructions","7","92640","0.0-7.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26527","","image-button-response_instructions","8","119168","0.0-8.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5657","","image-button-response_instructions","9","124827","0.0-9.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4001","","image-button-response_instructions","10","128829","0.0-10.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6592","","image-button-response_instructions","11","135423","0.0-11.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15850","","image-button-response_instructions","12","151275","0.0-12.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29757","","image-button-response_instructions","13","181033","0.0-13.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12729","","image-button-response_instructions","14","193763","0.0-14.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8466","","image-button-response_instructions","15","202230","0.0-15.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17175","","image-button-response_instructions","16","219407","0.0-16.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6702","","image-button-response_instructions","17","226111","0.0-17.0","A1DKS1KI6S93HF","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2785","","image-button-response_instructions","18","228897","0.0-18.0","A1DKS1KI6S93HF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7138","","survey-text","19","236055","0.0-19.0-0.0","A1DKS1KI6S93HF","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"67139","","survey-text","20","303197","0.0-20.0-0.0","A1DKS1KI6S93HF","","","","{""Q0"":""It looks like a wall at an abandoned building that is covered in grafitti""}","","","","","","","","","","","","","","","","","","","","","","",""
"7415.299999952316","","image-slider-response","21","310614","0.0-21.0","A1DKS1KI6S93HF","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
"4298","","image-button-response","22","315620","0.0-22.0","A1DKS1KI6S93HF","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1229","","image-button-response","23","316854","0.0-23.0","A1DKS1KI6S93HF","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5719","","image-button-response","24","322575","0.0-24.0-0.0","A1DKS1KI6S93HF","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4302","","image-button-response","25","326879","0.0-25.0-0.0","A1DKS1KI6S93HF","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","328395","0.0-26.0","A1DKS1KI6S93HF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","24","It looks like a wall at an abandoned building that is covered in grafitti","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","0"
"64771","","survey-text","27","393172","0.0-27.0-0.0","A1DKS1KI6S93HF","","","","{""Q0"":""I see a man in a chair. I like the brushwork and colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9967.399999976158","","image-slider-response","28","403141","0.0-28.0","A1DKS1KI6S93HF","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","408145","0.0-29.0","A1DKS1KI6S93HF","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4921","","image-button-response","30","413067","0.0-30.0","A1DKS1KI6S93HF","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2458","","image-button-response","31","415526","0.0-31.0-0.0","A1DKS1KI6S93HF","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"12179","","image-button-response","32","427707","0.0-32.0-0.0","A1DKS1KI6S93HF","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","428209","0.0-33.0","A1DKS1KI6S93HF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","26","I see a man in a chair. I like the brushwork and colors.","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Alex","I like the blocks of color arrangements,30,40,20","0"
"21361","","survey-text","34","449572","0.0-34.0-0.0","A1DKS1KI6S93HF","","","","{""Q0"":""Too much blue.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6659.300000071526","","image-slider-response","35","456233","0.0-35.0","A1DKS1KI6S93HF","","","","","-12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","461251","0.0-36.0","A1DKS1KI6S93HF","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8245","","image-button-response","37","469499","0.0-37.0","A1DKS1KI6S93HF","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"893","","image-button-response","38","470395","0.0-38.0-0.0","A1DKS1KI6S93HF","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2385","","image-button-response","39","472783","0.0-39.0-0.0","A1DKS1KI6S93HF","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
