"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"33455","external_page_harvard.html","external-html","0","33565","0.0-0.0","A1E31V4KC175MR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1880","","image-button-response","1","35446","0.0-1.0","A1E31V4KC175MR","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2573","","image-button-response","2","38024","0.0-2.0-0.0","A1E31V4KC175MR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6836","","survey-text","3","44862","0.0-3.0-0.0","A1E31V4KC175MR","","","","{""Q0"":""A1E31V4KC175MR""}","","","","","","","","","","","","","","","","","","","","","","",""
"11327","","image-button-response_instructions","4","56192","0.0-4.0","A1E31V4KC175MR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11372","","image-button-response_instructions","5","67566","0.0-5.0","A1E31V4KC175MR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8412","","image-button-response_instructions","6","75979","0.0-6.0","A1E31V4KC175MR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5179","","image-button-response_instructions","7","81160","0.0-7.0","A1E31V4KC175MR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20169","","image-button-response_instructions","8","101330","0.0-8.0","A1E31V4KC175MR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4695","","image-button-response_instructions","9","106026","0.0-9.0","A1E31V4KC175MR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3953","","image-button-response_instructions","10","109979","0.0-10.0","A1E31V4KC175MR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2667","","image-button-response_instructions","11","112648","0.0-11.0","A1E31V4KC175MR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7762","","image-button-response_instructions","12","120411","0.0-12.0","A1E31V4KC175MR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18488","","image-button-response_instructions","13","138901","0.0-13.0","A1E31V4KC175MR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9445","","image-button-response_instructions","14","148347","0.0-14.0","A1E31V4KC175MR","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4271","","image-button-response_instructions","15","152619","0.0-15.0","A1E31V4KC175MR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
