"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4178","external_page_harvard.html","external-html","0","4221","0.0-0.0","A1EHEQSM7S7PLO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1314","","image-button-response","1","5538","0.0-1.0","A1EHEQSM7S7PLO","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616","","image-button-response","2","7162","0.0-2.0-0.0","A1EHEQSM7S7PLO","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4814","","survey-text","3","11977","0.0-3.0-0.0","A1EHEQSM7S7PLO","","","","{""Q0"":""A1EHEQSM7S7PLO""}","","","","","","","","","","","","","","","","","","","","","","",""
"3436","","image-button-response_instructions","4","15417","0.0-4.0","A1EHEQSM7S7PLO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10550","","image-button-response_instructions","5","25969","0.0-5.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2758","","image-button-response_instructions","6","28728","0.0-6.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3047","","image-button-response_instructions","7","31776","0.0-7.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5205","","image-button-response_instructions","8","36984","0.0-8.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2310","","image-button-response_instructions","9","39296","0.0-9.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2758","","image-button-response_instructions","10","42056","0.0-10.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1622","","image-button-response_instructions","11","43680","0.0-11.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2878","","image-button-response_instructions","12","46560","0.0-12.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4686","","image-button-response_instructions","13","51248","0.0-13.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5181","","image-button-response_instructions","14","56431","0.0-14.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2569","","image-button-response_instructions","15","59003","0.0-15.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3686","","image-button-response_instructions","16","62691","0.0-16.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2086","","image-button-response_instructions","17","64778","0.0-17.0","A1EHEQSM7S7PLO","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2062","","image-button-response_instructions","18","66842","0.0-18.0","A1EHEQSM7S7PLO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6487","","survey-text","19","73370","0.0-19.0-0.0","A1EHEQSM7S7PLO","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14301","","survey-text","20","87673","0.0-20.0-0.0","A1EHEQSM7S7PLO","","","","{""Q0"":""Good colors, calming.""}","","","","","","","","","","","","","","","","","","","","","","",""
