"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9808","external_page_harvard.html","external-html","0","9905","0.0-0.0","A1EU2GVLVPXVQ3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","","image-button-response","1","12042","0.0-1.0","A1EU2GVLVPXVQ3","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1916","","image-button-response","2","13962","0.0-2.0-0.0","A1EU2GVLVPXVQ3","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5070","","survey-text","3","19033","0.0-3.0-0.0","A1EU2GVLVPXVQ3","","","","{""Q0"":""A1EU2GVLVPXVQ3""}","","","","","","","","","","","","","","","","","","","","","","",""
"8707","","image-button-response_instructions","4","27744","0.0-4.0","A1EU2GVLVPXVQ3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14961","","image-button-response_instructions","5","42706","0.0-5.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9232","","image-button-response_instructions","6","51940","0.0-6.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7654","","image-button-response_instructions","7","59595","0.0-7.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7163","","image-button-response_instructions","8","66759","0.0-8.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6015","","image-button-response_instructions","9","72775","0.0-9.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3937","","image-button-response_instructions","10","76714","0.0-10.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4826","","image-button-response_instructions","11","81541","0.0-11.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7273","","image-button-response_instructions","12","88816","0.0-12.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8826","","image-button-response_instructions","13","97643","0.0-13.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7147","","image-button-response_instructions","14","104791","0.0-14.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5297","","image-button-response_instructions","15","110089","0.0-15.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9109","","image-button-response_instructions","16","119199","0.0-16.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3545","","image-button-response_instructions","17","122745","0.0-17.0","A1EU2GVLVPXVQ3","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1983","","image-button-response_instructions","18","124729","0.0-18.0","A1EU2GVLVPXVQ3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5579","","survey-text","19","130329","0.0-19.0-0.0","A1EU2GVLVPXVQ3","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"24511","","survey-text","20","154841","0.0-20.0-0.0","A1EU2GVLVPXVQ3","","","","{""Q0"":""Not to stimulating.  Kind of dull.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5730.5","","image-slider-response","21","160576","0.0-21.0","A1EU2GVLVPXVQ3","","","","","-21","","","","","","","","","","","","","","","","","","","","","",""
