"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4044","external_page_harvard.html","external-html","0","4124","0.0-0.0","A1EW0KCS15O0CJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1189","","image-button-response","1","5315","0.0-1.0","A1EW0KCS15O0CJ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1779","","image-button-response","2","7099","0.0-2.0-0.0","A1EW0KCS15O0CJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5118","","survey-text","3","12218","0.0-3.0-0.0","A1EW0KCS15O0CJ","","","","{""Q0"":""A1EW0KCS15O0CJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4102","","image-button-response_instructions","4","16323","0.0-4.0","A1EW0KCS15O0CJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21535","","image-button-response_instructions","5","37858","0.0-5.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6039","","image-button-response_instructions","6","43898","0.0-6.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4343","","image-button-response_instructions","7","48242","0.0-7.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","","image-button-response_instructions","8","52330","0.0-8.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2912","","image-button-response_instructions","9","55243","0.0-9.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8366","","image-button-response_instructions","10","63611","0.0-10.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1567","","image-button-response_instructions","11","65179","0.0-11.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1832","","image-button-response_instructions","12","67011","0.0-12.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34806","","image-button-response_instructions","13","101819","0.0-13.0","A1EW0KCS15O0CJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
