"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"19543","external_page_harvard.html","external-html","0","19651","0.0-0.0","A1F2APQMJSQVFK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2474","","image-button-response","1","22130","0.0-1.0","A1F2APQMJSQVFK","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1687","","image-button-response","2","23823","0.0-2.0-0.0","A1F2APQMJSQVFK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6227","","survey-text","3","30053","0.0-3.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""A1F2APQMJSQVFK""}","","","","","","","","","","","","","","","","","","","","","","",""
"4721","","image-button-response_instructions","4","34778","0.0-4.0","A1F2APQMJSQVFK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11955","","image-button-response_instructions","5","46734","0.0-5.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9040","","image-button-response_instructions","6","55778","0.0-6.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4019","","image-button-response_instructions","7","59800","0.0-7.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5063","","image-button-response_instructions","8","64866","0.0-8.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3199","","image-button-response_instructions","9","68068","0.0-9.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2040","","image-button-response_instructions","10","70110","0.0-10.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1162","","image-button-response_instructions","11","71275","0.0-11.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1562","","image-button-response_instructions","12","72840","0.0-12.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6716","","image-button-response_instructions","13","79560","0.0-13.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3524","","image-button-response_instructions","14","83087","0.0-14.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15253","","image-button-response_instructions","15","98343","0.0-15.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3697","","image-button-response_instructions","16","102040","0.0-16.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3378","","image-button-response_instructions","17","105419","0.0-17.0","A1F2APQMJSQVFK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3927","","image-button-response_instructions","18","109347","0.0-18.0","A1F2APQMJSQVFK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6202","","survey-text","19","115583","0.0-19.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15585","","survey-text","20","131170","0.0-20.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""artist seems troubled""}","","","","","","","","","","","","","","","","","","","","","","",""
"4187.600000023842","","image-slider-response","21","135365","0.0-21.0","A1F2APQMJSQVFK","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","140381","0.0-22.0","A1F2APQMJSQVFK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"779","","image-button-response","23","141166","0.0-23.0","A1F2APQMJSQVFK","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7551","","image-button-response","24","148724","0.0-24.0-0.0","A1F2APQMJSQVFK","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"825","","image-button-response","25","149559","0.0-25.0-0.0","A1F2APQMJSQVFK","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","150578","0.0-26.0","A1F2APQMJSQVFK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","19","artist seems troubled","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"32643","","survey-text","27","183232","0.0-27.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""artist mind is disturbed""}","","","","","","","","","","","","","","","","","","","","","","",""
"3992.5","","image-slider-response","28","187227","0.0-28.0","A1F2APQMJSQVFK","","","","","-19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","192237","0.0-29.0","A1F2APQMJSQVFK","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"928","","image-button-response","30","193167","0.0-30.0","A1F2APQMJSQVFK","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4728","","image-button-response","31","197900","0.0-31.0-0.0","A1F2APQMJSQVFK","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6434","","image-button-response","32","204342","0.0-32.0-0.0","A1F2APQMJSQVFK","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","205361","0.0-33.0","A1F2APQMJSQVFK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-19","artist mind is disturbed","Allison,Jenna,Kara,Dora,Erika,Katie","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","too much color!,-28,180,20","Dora","looks too angry,-50,80,20","Allison","I don't have strong feelings about this,10,20,20","Katie","too much color!,-28,180,20","0"
"12457","","survey-text","34","217830","0.0-34.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""beautiful art work""}","","","","","","","","","","","","","","","","","","","","","","",""
"5324.599999904633","","image-slider-response","35","223160","0.0-35.0","A1F2APQMJSQVFK","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"2807","","image-button-response","36","228168","0.0-36.0","A1F2APQMJSQVFK","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1042","","image-button-response","37","229216","0.0-37.0","A1F2APQMJSQVFK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1930","","image-button-response","38","231150","0.0-38.0-0.0","A1F2APQMJSQVFK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"903","","image-button-response","39","239985","0.0-38.1-0.1","A1F2APQMJSQVFK","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8483","","image-button-response","40","248474","0.0-39.0-0.0","A1F2APQMJSQVFK","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","249986","0.0-40.0","A1F2APQMJSQVFK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","29","beautiful art work","Allison,Leslie,Rose,Dora,Mary,Katie","enjoy the different shades of blue,22,20,20","It's an alright work,15,200,20","My daily routine, it's depressing,-20,240,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","It looks depressing,-26,180,20","Allison","enjoy the different shades of blue,22,20,20","Mary","I like the overlapping of brushes,41,220,20","Leslie","It's an alright work,15,200,20","2"
"3965","","image-button-response_instructions","42","253966","0.0-41.0","A1F2APQMJSQVFK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11112","","survey-likert","43","265083","0.0-42.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4840","","survey-text","44","269939","0.0-43.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"12397","","survey-text","45","282337","0.0-44.0-0.0","A1F2APQMJSQVFK","","","","{""Q0"":""exquisite artwork""}","","","","","","","","","","","","","","","","","","","","","","",""
"3226.100000023842","","image-slider-response","46","285567","0.0-45.0","A1F2APQMJSQVFK","","","","","44","","","","","","","","","","","","","","","","","","","","","",""
"3289","","image-button-response","47","290619","0.0-46.0","A1F2APQMJSQVFK","img_art/21.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
