"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"24605","external_page_harvard.html","external-html","0","24653","0.0-0.0","A1FH0Y12VSXUMK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2304","","image-button-response","1","26963","0.0-1.0","A1FH0Y12VSXUMK","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3723","","image-button-response","2","30701","0.0-2.0-0.0","A1FH0Y12VSXUMK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"18070","","survey-text","3","48776","0.0-3.0-0.0","A1FH0Y12VSXUMK","","","","{""Q0"":""A1FH0Y12VSXUMK""}","","","","","","","","","","","","","","","","","","","","","","",""
"12426","","image-button-response_instructions","4","61206","0.0-4.0","A1FH0Y12VSXUMK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"31092","","image-button-response_instructions","5","92300","0.0-5.0","A1FH0Y12VSXUMK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17139","","image-button-response_instructions","6","109443","0.0-6.0","A1FH0Y12VSXUMK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7233","","image-button-response_instructions","7","116681","0.0-7.0","A1FH0Y12VSXUMK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"48345","","image-button-response_instructions","8","165027","0.0-8.0","A1FH0Y12VSXUMK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5656","","image-button-response_instructions","9","170700","0.0-9.0","A1FH0Y12VSXUMK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
