"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6955","external_page_harvard.html","external-html","0","7339","0.0-0.0","A1FS8SBR4SDWYG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2326","","image-button-response","1","9670","0.0-1.0","A1FS8SBR4SDWYG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1251","","image-button-response","2","10938","0.0-2.0-0.0","A1FS8SBR4SDWYG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10572","","survey-text","3","21515","0.0-3.0-0.0","A1FS8SBR4SDWYG","","","","{""Q0"":""A1FS8SBR4SDWYG""}","","","","","","","","","","","","","","","","","","","","","","",""
"2198","","image-button-response_instructions","4","23718","0.0-4.0","A1FS8SBR4SDWYG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7404","","image-button-response_instructions","5","31128","0.0-5.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3556","","image-button-response_instructions","6","34688","0.0-6.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2870","","image-button-response_instructions","7","37562","0.0-7.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8129","","image-button-response_instructions","8","45697","0.0-8.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3042","","image-button-response_instructions","9","48745","0.0-9.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1727","","image-button-response_instructions","10","50477","0.0-10.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","image-button-response_instructions","11","51945","0.0-11.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1807","","image-button-response_instructions","12","53757","0.0-12.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4260","","image-button-response_instructions","13","58021","0.0-13.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3131","","image-button-response_instructions","14","61158","0.0-14.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1724","","image-button-response_instructions","15","62886","0.0-15.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response_instructions","16","66036","0.0-16.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"890","","image-button-response_instructions","17","66930","0.0-17.0","A1FS8SBR4SDWYG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"828","","image-button-response_instructions","18","67762","0.0-18.0","A1FS8SBR4SDWYG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4768","","survey-text","19","72628","0.0-19.0-0.0","A1FS8SBR4SDWYG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
