"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6879","external_page_harvard.html","external-html","0","7103","0.0-0.0","A1G6F1HWIS2K2K","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2790","","image-button-response","1","9900","0.0-1.0","A1G6F1HWIS2K2K","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1474","","image-button-response","2","11416","0.0-2.0-0.0","A1G6F1HWIS2K2K","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"37527","","survey-text","3","48947","0.0-3.0-0.0","A1G6F1HWIS2K2K","","","","{""Q0"":""A1G6F1HWIS2K2K""}","","","","","","","","","","","","","","","","","","","","","","",""
"5661","","image-button-response_instructions","4","54611","0.0-4.0","A1G6F1HWIS2K2K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15986","","image-button-response_instructions","5","70599","0.0-5.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17630","","image-button-response_instructions","6","88231","0.0-6.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7109","","image-button-response_instructions","7","95344","0.0-7.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6310","","image-button-response_instructions","8","101656","0.0-8.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5394","","image-button-response_instructions","9","107054","0.0-9.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3942","","image-button-response_instructions","10","110999","0.0-10.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3521","","image-button-response_instructions","11","114523","0.0-11.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4806","","image-button-response_instructions","12","119331","0.0-12.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14751","","image-button-response_instructions","13","134084","0.0-13.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14720","","image-button-response_instructions","14","148807","0.0-14.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3798","","image-button-response_instructions","15","152607","0.0-15.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7047","","image-button-response_instructions","16","159655","0.0-16.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4491","","image-button-response_instructions","17","164149","0.0-17.0","A1G6F1HWIS2K2K","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2043","","image-button-response_instructions","18","166196","0.0-18.0","A1G6F1HWIS2K2K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10306","","survey-text","19","176544","0.0-19.0-0.0","A1G6F1HWIS2K2K","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"26035","","survey-text","20","202582","0.0-20.0-0.0","A1G6F1HWIS2K2K","","","","{""Q0"":""Looks like a kindergartener painted it""}","","","","","","","","","","","","","","","","","","","","","","",""
"5424","","image-slider-response","21","208011","0.0-21.0","A1G6F1HWIS2K2K","","","","","-45","","","","","","","","","","","","","","","","","","","","","",""
"4597","","image-button-response","22","213036","0.0-22.0","A1G6F1HWIS2K2K","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3254","","image-button-response","23","216296","0.0-23.0","A1G6F1HWIS2K2K","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2478","","image-button-response","24","218776","0.0-24.0-0.0","A1G6F1HWIS2K2K","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"11043","","image-button-response","25","229822","0.0-25.0-0.0","A1G6F1HWIS2K2K","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
