"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10225","external_page_harvard.html","external-html","0","10267","0.0-0.0","A1HRH92NH49RX2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2559","","image-button-response","1","12830","0.0-1.0","A1HRH92NH49RX2","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1666","","image-button-response","2","14504","0.0-2.0-0.0","A1HRH92NH49RX2","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"20455","","survey-text","3","34961","0.0-3.0-0.0","A1HRH92NH49RX2","","","","{""Q0"":""A1HRH92NH49RX2""}","","","","","","","","","","","","","","","","","","","","","","",""
"4311","","image-button-response_instructions","4","39275","0.0-4.0","A1HRH92NH49RX2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12051","","image-button-response_instructions","5","51327","0.0-5.0","A1HRH92NH49RX2","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10318","","image-button-response_instructions","6","61647","0.0-6.0","A1HRH92NH49RX2","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2298","","image-button-response_instructions","7","63947","0.0-7.0","A1HRH92NH49RX2","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2279","","image-button-response_instructions","8","66228","0.0-8.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4133","","image-button-response_instructions","9","70363","0.0-9.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1089","","image-button-response_instructions","10","71453","0.0-10.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"911","","image-button-response_instructions","11","72365","0.0-11.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"935","","image-button-response_instructions","12","73302","0.0-12.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1363","","image-button-response_instructions","13","74667","0.0-13.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1530","","image-button-response_instructions","14","76199","0.0-14.0","A1HRH92NH49RX2","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
